quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,itemName
201001,440105,21.82395,23,22,20,264,2010-01-01,01/01/2010,101545,2010,1,1,Driving Lesson
201002,440105,21.83866,23,22,20,265,2010-02-01,01/02/2010,97889,2010,2,1,Driving Lesson
201003,440105,21.82199,23,22,20,266,2010-03-01,01/03/2010,102189,2010,3,1,Driving Lesson
201004,440105,21.8358,23,22,20,267,2010-04-01,01/04/2010,104566,2010,4,2,Driving Lesson
201005,440105,21.87277,23,22,20,268,2010-05-01,01/05/2010,105655,2010,5,2,Driving Lesson
201006,440105,21.91144,23,22,20,269,2010-06-01,01/06/2010,106532,2010,6,2,Driving Lesson
201007,440105,21.95128,23,22,20,270,2010-07-01,01/07/2010,107229,2010,7,3,Driving Lesson
201008,440105,22.01004,23,22,20,271,2010-08-01,01/08/2010,108091,2010,8,3,Driving Lesson
201009,440105,22.02109,23,22,20,272,2010-09-01,01/09/2010,108500,2010,9,3,Driving Lesson
201010,440105,22.04083,23,22,20,273,2010-10-01,01/10/2010,109466,2010,10,4,Driving Lesson
201011,440105,21.99714,23,22,20,274,2010-11-01,01/11/2010,109784,2010,11,4,Driving Lesson
201012,440105,22.0104,23,22,20,275,2010-12-01,01/12/2010,110303,2010,12,4,Driving Lesson
201101,440105,21.98785,23,22,20,276,2011-01-01,01/01/2011,107592,2011,1,1,Driving Lesson
201102,440105,21.98286,23,22,20,277,2011-02-01,01/02/2011,107243,2011,2,1,Driving Lesson
201103,440105,21.99032,23,22,20,278,2011-03-01,01/03/2011,111703,2011,3,1,Driving Lesson
201104,440105,21.98818,23,22,20,279,2011-04-01,01/04/2011,110135,2011,4,2,Driving Lesson
201105,440105,21.96498,23,22,20,280,2011-05-01,01/05/2011,110905,2011,5,2,Driving Lesson
201106,440105,22.09416,24,22,20,281,2011-06-01,01/06/2011,110923,2011,6,2,Driving Lesson
201107,440105,22.12981,24,22,20,282,2011-07-01,01/07/2011,110938,2011,7,3,Driving Lesson
201108,440105,22.15577,24,22,20,283,2011-08-01,01/08/2011,111624,2011,8,3,Driving Lesson
201109,440105,22.16143,24,22,20,284,2011-09-01,01/09/2011,112468,2011,9,3,Driving Lesson
201110,440105,22.15592,24,22,20,285,2011-10-01,01/10/2011,112689,2011,10,4,Driving Lesson
201111,440105,22.13972,24,22,20,286,2011-11-01,01/11/2011,112558,2011,11,4,Driving Lesson
201112,440105,22.13568,24,22,20,287,2011-12-01,01/12/2011,113770,2011,12,4,Driving Lesson
201201,440105,22.12986,24,22,20,288,2012-01-01,01/01/2012,112915,2012,1,1,Driving Lesson
201202,440105,22.16854,24,22,20,289,2012-02-01,01/02/2012,109908,2012,2,1,Driving Lesson
201203,440105,22.15841,24,22,20,290,2012-03-01,01/03/2012,112591,2012,3,1,Driving Lesson
201204,440105,22.23209,24,22,20,291,2012-04-01,01/04/2012,111722,2012,4,2,Driving Lesson
201205,440105,22.24491,24,22,20,292,2012-05-01,01/05/2012,112977,2012,5,2,Driving Lesson
201206,440105,22.23084,24,22,20,293,2012-06-01,01/06/2012,113464,2012,6,2,Driving Lesson
201207,440105,22.21482,24,22,20.25,294,2012-07-01,01/07/2012,112979,2012,7,3,Driving Lesson
201208,440105,22.18326,24,22,20,295,2012-08-01,01/08/2012,113779,2012,8,3,Driving Lesson
201209,440105,22.1662,23.5,22,20,296,2012-09-01,01/09/2012,113529,2012,9,3,Driving Lesson
201210,440105,22.16014,23,22,20,297,2012-10-01,01/10/2012,113193,2012,10,4,Driving Lesson
201211,440105,22.15626,23,22,20,298,2012-11-01,01/11/2012,112322,2012,11,4,Driving Lesson
201212,440105,22.21832,24,22,20,299,2012-12-01,01/12/2012,112522,2012,12,4,Driving Lesson
201301,440105,22.21732,24,22,20,300,2013-01-01,01/01/2013,112470,2013,1,1,Driving Lesson
201302,440105,22.2259,24,22,20,301,2013-02-01,01/02/2013,108915,2013,2,1,Driving Lesson
