Date,Entity,Measure,Share of VRE
2019-01-01,USA_CASIO,Share of VRE,11.10108853
2019-02-01,USA_CASIO,Share of VRE,16.31836831
2019-03-01,USA_CASIO,Share of VRE,20.81104397
2019-04-01,USA_CASIO,Share of VRE,24.36337801
2019-05-01,USA_CASIO,Share of VRE,25.26122143
2019-06-01,USA_CASIO,Share of VRE,23.83688614
2019-07-01,USA_CASIO,Share of VRE,21.2081624
2019-08-01,USA_CASIO,Share of VRE,18.78192546
2019-09-01,USA_CASIO,Share of VRE,18.30278972
2019-10-01,USA_CASIO,Share of VRE,19.4558192
2019-11-01,USA_CASIO,Share of VRE,11.20777033
2019-12-01,USA_CASIO,Share of VRE,8.999659553
2020-01-01,USA_CASIO,Share of VRE,13.33915546
2020-02-01,USA_CASIO,Share of VRE,15.95960817
2020-03-01,USA_CASIO,Share of VRE,17.36991872
2020-04-01,USA_CASIO,Share of VRE,24.34077259
2020-05-01,USA_CASIO,Share of VRE,25.64730527
2020-06-01,USA_CASIO,Share of VRE,23.64892256
2019-01-01,USA_ERCOT,Share of VRE,22
2019-02-01,USA_ERCOT,Share of VRE,24
2019-03-01,USA_ERCOT,Share of VRE,23
2019-04-01,USA_ERCOT,Share of VRE,28
2019-05-01,USA_ERCOT,Share of VRE,23
2019-06-01,USA_ERCOT,Share of VRE,18
2019-07-01,USA_ERCOT,Share of VRE,17
2019-08-01,USA_ERCOT,Share of VRE,16
2019-09-01,USA_ERCOT,Share of VRE,17
2019-10-01,USA_ERCOT,Share of VRE,24
2019-11-01,USA_ERCOT,Share of VRE,24
2019-12-01,USA_ERCOT,Share of VRE,24
2020-01-01,USA_ERCOT,Share of VRE,27
2020-02-01,USA_ERCOT,Share of VRE,27
2020-03-01,USA_ERCOT,Share of VRE,28
2020-04-01,USA_ERCOT,Share of VRE,30
2020-05-01,USA_ERCOT,Share of VRE,28
2020-06-01,USA_ERCOT,Share of VRE,28
