Date,itemName,p_mean,p_75,p_25,weighting,p_mean_weighted,p_75_weighted,p_25 weighted
01/01/2006,Bacon,7.324055,8.36,5.95,0.08,0.5859244,0.6688,0.476
01/02/2006,Bacon,7.284754,8.36,5.815,0.08,0.58278032,0.6688,0.4652
01/03/2006,Bacon,7.161388,8.3,5.8,0.08,0.57291104,0.664,0.464
01/04/2006,Bacon,7.215121,8.305,5.865,0.08,0.57720968,0.6644,0.4692
01/05/2006,Bacon,7.306965,8.36,5.95,0.08,0.5845572,0.6688,0.476
01/06/2006,Bacon,7.353125,8.36,5.935,0.08,0.58825,0.6688,0.4748
01/07/2006,Bacon,7.457665,8.5,5.93,0.08,0.5966132,0.68,0.4744
01/08/2006,Bacon,7.639236,9.08,5.94,0.08,0.61113888,0.7264,0.4752
01/09/2006,Bacon,7.46616,8.5,5.96,0.08,0.5972928,0.68,0.4768
01/10/2006,Bacon,7.560114,8.6,6.06,0.08,0.60480912,0.688,0.4848
01/11/2006,Bacon,7.711179,8.95,6.13,0.08,0.61689432,0.716,0.4904
01/12/2006,Bacon,7.642633,8.6,6,0.08,0.61141064,0.688,0.48
01/01/2007,Bacon,7.677176,8.6,6.15,0.08,0.61417408,0.688,0.492
01/02/2007,Bacon,7.575843,8.6,5.99,0.08,0.60606744,0.688,0.4792
01/03/2007,Bacon,7.589771,8.6,6.08,0.08,0.60718168,0.688,0.4864
01/04/2007,Bacon,7.740038,8.82,6.13,0.08,0.61920304,0.7056,0.4904
01/05/2007,Bacon,7.553715,8.6,5.93,0.08,0.6042972,0.688,0.4744
01/06/2007,Bacon,7.518842,8.5,5.92,0.08,0.60150736,0.68,0.4736
01/07/2007,Bacon,7.578031,8.6,5.84,0.08,0.60624248,0.688,0.4672
01/08/2007,Bacon,7.543569,8.8,5.8,0.08,0.60348552,0.704,0.464
01/09/2007,Bacon,7.455118,8.5,5.93,0.08,0.59640944,0.68,0.4744
01/10/2007,Bacon,7.718933,8.9,6.16,0.08,0.61751464,0.712,0.4928
01/11/2007,Bacon,7.780038,8.809999,6.165,0.08,0.62240304,0.70479992,0.4932
01/12/2007,Bacon,7.869611,8.81,6.17,0.08,0.62956888,0.7048,0.4936
01/01/2008,Bacon,7.77914,8.805,6.165,0.08,0.6223312,0.7044,0.4932
01/02/2008,Bacon,7.865159,8.815001,6.21,0.08,0.62921272,0.70520008,0.4968
01/03/2008,Bacon,7.810426,8.8,6.21,0.08,0.62483408,0.704,0.4968
01/04/2008,Bacon,7.924286,8.924999,6.555,0.08,0.63394288,0.71399992,0.5244
01/05/2008,Bacon,8.293267,9.56,6.56,0.08,0.66346136,0.7648,0.5248
01/06/2008,Bacon,8.394941,9.56,6.59,0.08,0.67159528,0.7648,0.5272
01/07/2008,Bacon,8.618479,10.36,6.59,0.08,0.68947832,0.8288,0.5272
01/08/2008,Bacon,8.673893,10,6.79,0.08,0.69391144,0.8,0.5432
01/09/2008,Bacon,8.730654,10.36,6.8,0.08,0.69845232,0.8288,0.544
01/10/2008,Bacon,8.717354,10.36,6.75,0.08,0.69738832,0.8288,0.54
01/11/2008,Bacon,8.787318,10.36,6.8,0.08,0.70298544,0.8288,0.544
01/12/2008,Bacon,8.805095,10.36,6.83,0.08,0.7044076,0.8288,0.5464
01/01/2009,Bacon,8.853162,10.36,6.9,0.08,0.70825296,0.8288,0.552
01/02/2009,Bacon,8.893755,10.4,6.89,0.08,0.7115004,0.832,0.5512
01/03/2009,Bacon,8.846553,10.4,6.95,0.08,0.70772424,0.832,0.556
01/04/2009,Bacon,8.855113,10.36,6.99,0.08,0.70840904,0.8288,0.5592
01/05/2009,Bacon,8.977724,10.4,6.99,0.08,0.71821792,0.832,0.5592
01/06/2009,Bacon,8.870261,10.4,6.99,0.08,0.70962088,0.832,0.5592
01/07/2009,Bacon,8.715191,10.36,6.95,0.08,0.69721528,0.8288,0.556
01/08/2009,Bacon,8.803536,10.36,6.83,0.08,0.70428288,0.8288,0.5464
01/09/2009,Bacon,8.70861,10.36,6.62,0.08,0.6966888,0.8288,0.5296
01/10/2009,Bacon,8.788517,10.4,6.99,0.08,0.70308136,0.832,0.5592
01/11/2009,Bacon,8.834091,10.48,6.99,0.08,0.70672728,0.8384,0.5592
01/12/2009,Bacon,8.786742,10.76,6.99,0.08,0.70293936,0.8608,0.5592
01/01/2010,Bacon,8.779166,10.48,6.925,0.08,0.70233328,0.8384,0.554
01/02/2010,Bacon,8.753252,10.44,6.83,0.08,0.70026016,0.8352,0.5464
01/03/2010,Bacon,8.661945,10.36,6.83,0.08,0.6929556,0.8288,0.5464
01/04/2010,Bacon,8.684008,10.36,6.81,0.08,0.69472064,0.8288,0.5448
01/05/2010,Bacon,8.716154,10.4,6.925,0.08,0.69729232,0.832,0.554
01/06/2010,Bacon,8.719216,10.36,6.97,0.08,0.69753728,0.8288,0.5576
01/07/2010,Bacon,8.677414,10.56,6.81,0.08,0.69419312,0.8448,0.5448
01/08/2010,Bacon,8.76613,10.5,6.95,0.08,0.7012904,0.84,0.556
01/09/2010,Bacon,8.707803,10.36,6.95,0.08,0.69662424,0.8288,0.556
01/10/2010,Bacon,8.713206,10.36,6.9,0.08,0.69705648,0.8288,0.552
01/11/2010,Bacon,8.720947,10.36,6.89,0.08,0.69767576,0.8288,0.5512
01/12/2010,Bacon,8.760594,10.58,6.9,0.08,0.70084752,0.8464,0.552
01/01/2011,Bacon,8.77283,10.36,6.99,0.08,0.7018264,0.8288,0.5592
01/02/2011,Bacon,8.854127,10.915,6.99,0.08,0.70833016,0.8732,0.5592
01/03/2011,Bacon,8.779317,10.56,6.99,0.08,0.70234536,0.8448,0.5592
01/04/2011,Bacon,8.959167,10.97,6.995,0.08,0.71673336,0.8776,0.5596
01/05/2011,Bacon,8.944118,10.58,7.04,0.08,0.71552944,0.8464,0.5632
01/06/2011,Bacon,8.90373,10.4,7.05,0.08,0.7122984,0.832,0.564
01/07/2011,Bacon,8.965412,10.36,7.05,0.08,0.71723296,0.8288,0.564
01/08/2011,Bacon,9.057137,10.58,7.25,0.08,0.72457096,0.8464,0.58
01/09/2011,Bacon,9.080113,10.78,7.09,0.08,0.72640904,0.8624,0.5672
01/10/2011,Bacon,9.085916,10.93,7.2,0.08,0.72687328,0.8744,0.576
01/11/2011,Bacon,9.023334,10.76,7.075,0.08,0.72186672,0.8608,0.566
01/12/2011,Bacon,9.118058,10.76,7.2,0.08,0.72944464,0.8608,0.576
01/01/2012,Bacon,9.144576,10.93,7.2,0.08,0.73156608,0.8744,0.576
01/02/2012,Bacon,9.207752,10.97,7.23,0.08,0.73662016,0.8776,0.5784
01/03/2012,Bacon,9.030755,10.64,7.23,0.08,0.7224604,0.8512,0.5784
01/04/2012,Bacon,9.070807,10.6,7.24,0.08,0.72566456,0.848,0.5792
01/05/2012,Bacon,9.060722,10.6,7.1,0.08,0.72485776,0.848,0.568
01/06/2012,Bacon,8.978922,10.36,7.11,0.08,0.71831376,0.8288,0.5688
01/07/2012,Bacon,9.016654,10.6,7.11,0.08,0.72133232,0.848,0.5688
01/08/2012,Bacon,8.937595,10.44,7.1,0.08,0.7150076,0.8352,0.568
01/09/2012,Bacon,9.043806,10.6,7.27,0.08,0.72350448,0.848,0.5816
01/10/2012,Bacon,9.010448,10.58,7.055,0.08,0.72083584,0.8464,0.5644
01/11/2012,Bacon,9.200627,10.76,7.29,0.08,0.73605016,0.8608,0.5832
01/12/2012,Bacon,9.260077,10.76,7.465,0.08,0.74080616,0.8608,0.5972
01/01/2013,Bacon,9.183022,10.76,7.42,0.08,0.73464176,0.8608,0.5936
01/02/2013,Bacon,9.167279,10.5,7.18,0.08,0.73338232,0.84,0.5744
01/03/2013,Bacon,9.186728,10.56,7.24,0.08,0.73493824,0.8448,0.5792
01/04/2013,Bacon,9.198298,10.76,7.055,0.08,0.73586384,0.8608,0.5644
01/05/2013,Bacon,9.30847,10.76,7.475,0.08,0.7446776,0.8608,0.598
01/06/2013,Bacon,9.333138,10.76,7.79,0.08,0.74665104,0.8608,0.6232
01/07/2013,Bacon,9.308545,10.76,7.755,0.08,0.7446836,0.8608,0.6204
01/08/2013,Bacon,9.283397,10.59,7.59,0.08,0.74267176,0.8472,0.6072
01/09/2013,Bacon,9.36958,10.76,7.8,0.08,0.7495664,0.8608,0.624
01/10/2013,Bacon,9.449555,10.76,7.8,0.08,0.7559644,0.8608,0.624
01/11/2013,Bacon,9.431782,10.76,7.72,0.08,0.75454256,0.8608,0.6176
01/12/2013,Bacon,9.457629,10.76,7.89,0.08,0.75661032,0.8608,0.6312
01/01/2014,Bacon,9.298918,10.76,6.9,0.08,0.74391344,0.8608,0.552
01/02/2014,Bacon,9.296015,10.76,7.05,0.08,0.7436812,0.8608,0.564
01/03/2014,Bacon,9.261575,10.59,7.27,0.08,0.740926,0.8472,0.5816
01/04/2014,Bacon,9.23938,10.44,7.27,0.08,0.7391504,0.8352,0.5816
01/05/2014,Bacon,9.006866,10,6.995,0.08,0.72054928,0.8,0.5596
01/06/2014,Bacon,9.020749,10,7.2,0.08,0.72165992,0.8,0.576
01/07/2014,Bacon,9.017056,10,7.15,0.08,0.72136448,0.8,0.572
01/08/2014,Bacon,9.153864,10,7.27,0.08,0.73230912,0.8,0.5816
01/09/2014,Bacon,9.099312,10,7.225,0.08,0.72794496,0.8,0.578
01/10/2014,Bacon,9.147834,10.36,7.14,0.08,0.73182672,0.8288,0.5712
01/11/2014,Bacon,9.090689,10.075,7.07,0.08,0.72725512,0.806,0.5656
01/12/2014,Bacon,9.075807,10.36,7.07,0.08,0.72606456,0.8288,0.5656
01/01/2015,Bacon,8.975413,10,6.67,0.08,0.71803304,0.8,0.5336
01/02/2015,Bacon,8.944031,10,7.06,0.08,0.71552248,0.8,0.5648
01/03/2015,Bacon,8.823972,10,6.67,0.08,0.70591776,0.8,0.5336
01/04/2015,Bacon,8.981176,10.075,7.02,0.08,0.71849408,0.806,0.5616
01/05/2015,Bacon,8.829144,10,6.8,0.08,0.70633152,0.8,0.544
01/06/2015,Bacon,8.818448,10,6.82,0.08,0.70547584,0.8,0.5456
01/07/2015,Bacon,8.685719,9.99,6.64,0.08,0.69485752,0.7992,0.5312
01/08/2015,Bacon,8.654126,9.9,6.67,0.08,0.69233008,0.792,0.5336
01/09/2015,Bacon,8.696363,9.9,7.15,0.08,0.69570904,0.792,0.572
01/10/2015,Bacon,8.62264,9.9,6.79,0.08,0.6898112,0.792,0.5432
01/11/2015,Bacon,8.52772,9.875,6.67,0.08,0.6822176,0.79,0.5336
01/12/2015,Bacon,8.461091,9.85,6.67,0.08,0.67688728,0.788,0.5336
01/01/2016,Bacon,8.50146,9.9,6.67,0.08,0.6801168,0.792,0.5336
01/02/2016,Bacon,8.210613,9.8,6.5,0.08,0.65684904,0.784,0.52
01/03/2016,Bacon,8.080758,9.41,6.57,0.08,0.64646064,0.7528,0.5256
01/04/2016,Bacon,8.173564,9.68,6.67,0.08,0.65388512,0.7744,0.5336
01/05/2016,Bacon,8.114578,9.58,6.59,0.08,0.64916624,0.7664,0.5272
01/06/2016,Bacon,8.081957,9.405,6.59,0.08,0.64655656,0.7524,0.5272
01/07/2016,Bacon,8.124962,9.45,6.615,0.08,0.64999696,0.756,0.5292
01/08/2016,Bacon,7.988185,9.28,6.67,0.08,0.6390548,0.7424,0.5336
01/09/2016,Bacon,8.04928,9.3,6.59,0.08,0.6439424,0.744,0.5272
01/10/2016,Bacon,7.877022,9.28,6.59,0.08,0.63016176,0.7424,0.5272
01/11/2016,Bacon,8.115236,9.5,6.64,0.08,0.64921888,0.76,0.5312
01/12/2016,Bacon,8.205652,9.54,6.67,0.08,0.65645216,0.7632,0.5336
01/01/2017,Bacon,8.177046,9.5,6.67,0.08,0.65416368,0.76,0.5336
01/02/2017,Bacon,8.161182,9.68,6.23,0.08,0.65289456,0.7744,0.4984
01/03/2017,Bacon,7.956264,9.28,6.23,0.08,0.63650112,0.7424,0.4984
01/04/2017,Bacon,8.220978,9.745001,6.57,0.08,0.65767824,0.77960008,0.5256
01/05/2017,Bacon,8.16121,9.5,6.5,0.08,0.6528968,0.76,0.52
01/06/2017,Bacon,8.063764,9.68,6.17,0.08,0.64510112,0.7744,0.4936
01/07/2017,Bacon,8.198782,9.68,6.23,0.08,0.65590256,0.7744,0.4984
01/08/2017,Bacon,8.228202,9.58,6.67,0.08,0.65825616,0.7664,0.5336
01/09/2017,Bacon,8.153978,9.5,6.23,0.08,0.65231824,0.76,0.4984
01/10/2017,Bacon,8.226521,9.68,6.5,0.08,0.65812168,0.7744,0.52
01/11/2017,Bacon,8.206208,9.5,6.57,0.08,0.65649664,0.76,0.5256
01/12/2017,Bacon,8.315485,9.73,6.61,0.08,0.6652388,0.7784,0.5288
01/01/2018,Bacon,8.31956,9.85,6.67,0.08,0.6655648,0.788,0.5336
01/02/2018,Bacon,8.338755,9.98,6.63,0.08,0.6671004,0.7984,0.5304
01/03/2018,Bacon,8.282436,9.96,6.63,0.08,0.66259488,0.7968,0.5304
01/04/2018,Bacon,8.262545,9.92,6.59,0.08,0.6610036,0.7936,0.5272
01/05/2018,Bacon,8.308357,9.92,6.4,0.08,0.66466856,0.7936,0.512
01/06/2018,Bacon,8.244708,9.92,6.38,0.08,0.65957664,0.7936,0.5104
01/07/2018,Bacon,8.230395,9.9,6.3,0.08,0.6584316,0.792,0.504
01/08/2018,Bacon,8.257472,9.92,6.4,0.08,0.66059776,0.7936,0.512
01/09/2018,Bacon,8.210384,9.92,6.23,0.08,0.65683072,0.7936,0.4984
01/10/2018,Bacon,8.22028,9.9,6.23,0.08,0.6576224,0.792,0.4984
01/11/2018,Bacon,8.190502,9.92,6.23,0.08,0.65524016,0.7936,0.4984
01/12/2018,Bacon,8.248853,9.92,6.23,0.08,0.65990824,0.7936,0.4984
01/01/2019,Bacon,8.277709,9.92,6.28,0.08,0.66221672,0.7936,0.5024
01/02/2019,Bacon,8.259781,9.92,6.23,0.08,0.66078248,0.7936,0.4984
01/03/2019,Bacon,8.266618,9.91,6.23,0.08,0.66132944,0.7928,0.4984
01/04/2019,Bacon,8.097761,9.91,6,0.08,0.64782088,0.7928,0.48
01/05/2019,Bacon,8.287847,9.95,6.28,0.08,0.66302776,0.796,0.5024
01/06/2019,Bacon,8.392122,9.98,6.5,0.08,0.67136976,0.7984,0.52
01/07/2019,Bacon,8.28975,9.969999,6.33,0.08,0.66318,0.79759992,0.5064
01/08/2019,Bacon,8.174576,9.6,5.93,0.08,0.65396608,0.768,0.4744
01/09/2019,Bacon,8.345018,9.92,6.34,0.08,0.66760144,0.7936,0.5072
01/10/2019,Bacon,8.190251,9.5,6.34,0.08,0.65522008,0.76,0.5072
01/11/2019,Bacon,8.246434,9.75,6.33,0.08,0.65971472,0.78,0.5064
01/12/2019,Bacon,8.301517,9.85,6.33,0.08,0.66412136,0.788,0.5064
01/01/2020,Bacon,8.357003,9.9,6.34,0.08,0.66856024,0.792,0.5072
01/02/2020,Bacon,8.386436,9.92,6.34,0.08,0.67091488,0.7936,0.5072
01/03/2020,Bacon,8.443736,9.92,6.3,0.08,0.67549888,0.7936,0.504
01/04/2020,Bacon,8.109798,9,6,0.08,0.64878384,0.72,0.48
01/05/2020,Bacon,8.008405,8.775,6,0.08,0.6406724,0.702,0.48
01/06/2020,Bacon,8.142146,9,6.3,0.08,0.65137168,0.72,0.504
01/07/2020,Bacon,8.169572,8.89,6,0.08,0.65356576,0.7112,0.48
01/08/2020,Bacon,8.322811,9.95,6.15,0.08,0.66582488,0.796,0.492
01/09/2020,Bacon,8.313654,9.969999,6,0.08,0.66509232,0.79759992,0.48
01/10/2020,Bacon,7.943376,9.55,5.67,0.08,0.63547008,0.764,0.4536
01/11/2020,Bacon,8.366828,9.99,6,0.08,0.66934624,0.7992,0.48
01/12/2020,Bacon,8.542695,10.98,6,0.08,0.6834156,0.8784,0.48
01/01/2021,Bacon,8.2979,10.42,5.97,0.08,0.663832,0.8336,0.4776
01/02/2021,Bacon,8.172537,10,5.63,0.08,0.65380296,0.8,0.4504
01/03/2021,Bacon,8.21,10.345,5.81,0.08,0.6568,0.8276,0.4648
01/04/2021,Bacon,8.31588,10.42,5.81,0.08,0.6652704,0.8336,0.4648
01/05/2021,Bacon,8.43185,10.51,6,0.08,0.674548,0.8408,0.48
01/06/2021,Bacon,8.326118,10.27,5.63,0.08,0.66608944,0.8216,0.4504
01/07/2021,Bacon,8.121073,9.85,5,0.08,0.64968584,0.788,0.4
01/08/2021,Bacon,8.182014,9.99,5.63,0.08,0.65456112,0.7992,0.4504
