Date,Measure,Value
2006-01-01,sum_mean_weighted,1.83286604
2006-02-01,sum_mean_weighted,1.831862917
2006-03-01,sum_mean_weighted,1.834053092
2006-04-01,sum_mean_weighted,1.837954256
2006-05-01,sum_mean_weighted,1.862170115
2006-06-01,sum_mean_weighted,1.866856479
2006-07-01,sum_mean_weighted,1.870059857
2006-08-01,sum_mean_weighted,1.894502573
2006-09-01,sum_mean_weighted,1.898585217
2006-10-01,sum_mean_weighted,1.921521494
2006-11-01,sum_mean_weighted,1.927424062
2006-12-01,sum_mean_weighted,1.93193639
2007-01-01,sum_mean_weighted,1.950802888
2007-02-01,sum_mean_weighted,1.951866121
2007-03-01,sum_mean_weighted,1.956401117
2007-04-01,sum_mean_weighted,1.998536053
2007-05-01,sum_mean_weighted,1.963236305
2007-06-01,sum_mean_weighted,1.965342017
2007-07-01,sum_mean_weighted,1.968509975
2007-08-01,sum_mean_weighted,1.963995344
2007-09-01,sum_mean_weighted,1.98164073
2007-10-01,sum_mean_weighted,2.023747056
2007-11-01,sum_mean_weighted,2.04710613
2007-12-01,sum_mean_weighted,2.062821589
2008-01-01,sum_mean_weighted,2.067745794
2008-02-01,sum_mean_weighted,2.060511499
2008-03-01,sum_mean_weighted,2.069190099
2008-04-01,sum_mean_weighted,2.097806389
2008-05-01,sum_mean_weighted,2.167921565
2008-06-01,sum_mean_weighted,2.185303393
2008-07-01,sum_mean_weighted,2.202591132
2008-08-01,sum_mean_weighted,2.23311571
2008-09-01,sum_mean_weighted,2.236342215
2008-10-01,sum_mean_weighted,2.264149219
2008-11-01,sum_mean_weighted,2.296087637
2008-12-01,sum_mean_weighted,2.304078507
2009-01-01,sum_mean_weighted,2.333173623
2009-02-01,sum_mean_weighted,2.345804283
2009-03-01,sum_mean_weighted,2.349461881
2009-04-01,sum_mean_weighted,2.353127446
2009-05-01,sum_mean_weighted,2.366357532
2009-06-01,sum_mean_weighted,2.346376502
2009-07-01,sum_mean_weighted,2.330040451
2009-08-01,sum_mean_weighted,2.323676141
2009-09-01,sum_mean_weighted,2.324551334
2009-10-01,sum_mean_weighted,2.333947508
2009-11-01,sum_mean_weighted,2.317395995
2009-12-01,sum_mean_weighted,2.325229088
2010-01-01,sum_mean_weighted,2.339206483
2010-02-01,sum_mean_weighted,2.330833957
2010-03-01,sum_mean_weighted,2.35830315
2010-04-01,sum_mean_weighted,2.361681328
2010-05-01,sum_mean_weighted,2.329781279
2010-06-01,sum_mean_weighted,2.329729541
2010-07-01,sum_mean_weighted,2.341403209
2010-08-01,sum_mean_weighted,2.338130044
2010-09-01,sum_mean_weighted,2.347048077
2010-10-01,sum_mean_weighted,2.346781753
2010-11-01,sum_mean_weighted,2.355159174
2010-12-01,sum_mean_weighted,2.375833352
2011-01-01,sum_mean_weighted,2.373007053
2011-02-01,sum_mean_weighted,2.391187337
2011-03-01,sum_mean_weighted,2.386304691
2011-04-01,sum_mean_weighted,2.401123953
2011-05-01,sum_mean_weighted,2.406726133
2011-06-01,sum_mean_weighted,2.399111004
2011-07-01,sum_mean_weighted,2.422829293
2011-08-01,sum_mean_weighted,2.418193653
2011-09-01,sum_mean_weighted,2.419373615
2011-10-01,sum_mean_weighted,2.412522145
2011-11-01,sum_mean_weighted,2.41820575
2011-12-01,sum_mean_weighted,2.414219947
2012-01-01,sum_mean_weighted,2.434990738
2012-02-01,sum_mean_weighted,2.459982373
2012-03-01,sum_mean_weighted,2.435891981
2012-04-01,sum_mean_weighted,2.44214388
2012-05-01,sum_mean_weighted,2.430305599
2012-06-01,sum_mean_weighted,2.429144515
2012-07-01,sum_mean_weighted,2.428408962
2012-08-01,sum_mean_weighted,2.422682367
2012-09-01,sum_mean_weighted,2.443421087
2012-10-01,sum_mean_weighted,2.449853794
2012-11-01,sum_mean_weighted,2.480535216
2012-12-01,sum_mean_weighted,2.490192713
2013-01-01,sum_mean_weighted,2.483703695
2013-02-01,sum_mean_weighted,2.497525747
2013-03-01,sum_mean_weighted,2.492518951
2013-04-01,sum_mean_weighted,2.50984715
2013-05-01,sum_mean_weighted,2.528303703
2013-06-01,sum_mean_weighted,2.509340492
2013-07-01,sum_mean_weighted,2.520375303
2013-08-01,sum_mean_weighted,2.50892945
2013-09-01,sum_mean_weighted,2.522082602
2013-10-01,sum_mean_weighted,2.525154403
2013-11-01,sum_mean_weighted,2.526259304
2013-12-01,sum_mean_weighted,2.536308233
2014-01-01,sum_mean_weighted,2.540843304
2014-02-01,sum_mean_weighted,2.556371464
2014-03-01,sum_mean_weighted,2.544646389
2014-04-01,sum_mean_weighted,2.520671143
2014-05-01,sum_mean_weighted,2.473208402
2014-06-01,sum_mean_weighted,2.466316436
2014-07-01,sum_mean_weighted,2.470632898
2014-08-01,sum_mean_weighted,2.466541538
2014-09-01,sum_mean_weighted,2.477824309
2014-10-01,sum_mean_weighted,2.499871624
2014-11-01,sum_mean_weighted,2.479563537
2014-12-01,sum_mean_weighted,2.475230614
2015-01-01,sum_mean_weighted,2.460497202
2015-02-01,sum_mean_weighted,2.440063174
2015-03-01,sum_mean_weighted,2.447019391
2015-04-01,sum_mean_weighted,2.466220344
2015-05-01,sum_mean_weighted,2.459760748
2015-06-01,sum_mean_weighted,2.434574675
2015-07-01,sum_mean_weighted,2.405085537
2015-08-01,sum_mean_weighted,2.411751382
2015-09-01,sum_mean_weighted,2.423693155
2015-10-01,sum_mean_weighted,2.403410887
2015-11-01,sum_mean_weighted,2.39583459
2015-12-01,sum_mean_weighted,2.383794178
2016-01-01,sum_mean_weighted,2.383157781
2016-02-01,sum_mean_weighted,2.336110557
2016-03-01,sum_mean_weighted,2.289225298
2016-04-01,sum_mean_weighted,2.309857577
2016-05-01,sum_mean_weighted,2.30640573
2016-06-01,sum_mean_weighted,2.288098863
2016-07-01,sum_mean_weighted,2.295120232
2016-08-01,sum_mean_weighted,2.275217441
2016-09-01,sum_mean_weighted,2.297459353
2016-10-01,sum_mean_weighted,2.279068097
2016-11-01,sum_mean_weighted,2.310196534
2016-12-01,sum_mean_weighted,2.336097446
2017-01-01,sum_mean_weighted,2.319334192
2017-02-01,sum_mean_weighted,2.354010963
2017-03-01,sum_mean_weighted,2.333727827
2017-04-01,sum_mean_weighted,2.353239366
2017-05-01,sum_mean_weighted,2.355919914
2017-06-01,sum_mean_weighted,2.330363967
2017-07-01,sum_mean_weighted,2.360805186
2017-08-01,sum_mean_weighted,2.351502733
2017-09-01,sum_mean_weighted,2.345710418
2017-10-01,sum_mean_weighted,2.373882236
2017-11-01,sum_mean_weighted,2.388372399
2017-12-01,sum_mean_weighted,2.413417455
2018-01-01,sum_mean_weighted,2.410787893
2018-02-01,sum_mean_weighted,2.378812288
2018-03-01,sum_mean_weighted,2.370982199
2018-04-01,sum_mean_weighted,2.371183191
2018-05-01,sum_mean_weighted,2.357437474
2018-06-01,sum_mean_weighted,2.349906435
2018-07-01,sum_mean_weighted,2.361590027
2018-08-01,sum_mean_weighted,2.341292616
2018-09-01,sum_mean_weighted,2.357557138
2018-10-01,sum_mean_weighted,2.375099652
2018-11-01,sum_mean_weighted,2.356879663
2018-12-01,sum_mean_weighted,2.363556887
2019-01-01,sum_mean_weighted,2.393219676
2019-02-01,sum_mean_weighted,2.394746242
2019-03-01,sum_mean_weighted,2.388990624
2019-04-01,sum_mean_weighted,2.37336786
2019-05-01,sum_mean_weighted,2.386560873
2019-06-01,sum_mean_weighted,2.385807266
2019-07-01,sum_mean_weighted,2.395278727
2019-08-01,sum_mean_weighted,2.376742916
2019-09-01,sum_mean_weighted,2.396628148
2019-10-01,sum_mean_weighted,2.38167376
2019-11-01,sum_mean_weighted,2.388942723
2019-12-01,sum_mean_weighted,2.402981581
2020-01-01,sum_mean_weighted,2.426389435
2020-02-01,sum_mean_weighted,2.436121864
2020-03-01,sum_mean_weighted,2.469637427
2020-04-01,sum_mean_weighted,2.354907699
2020-05-01,sum_mean_weighted,2.438318934
2020-06-01,sum_mean_weighted,2.474791116
2020-07-01,sum_mean_weighted,2.489612434
2020-08-01,sum_mean_weighted,2.463986219
2020-09-01,sum_mean_weighted,2.477993156
2020-10-01,sum_mean_weighted,2.443238881
2020-11-01,sum_mean_weighted,2.482216418
2020-12-01,sum_mean_weighted,2.481547147
2021-01-01,sum_mean_weighted,2.462369412
2021-02-01,sum_mean_weighted,2.454368015
2021-03-01,sum_mean_weighted,2.479990074
2021-04-01,sum_mean_weighted,2.475873134
2021-05-01,sum_mean_weighted,2.538415513
2021-06-01,sum_mean_weighted,2.498446531
2021-07-01,sum_mean_weighted,2.482483685
2021-08-01,sum_mean_weighted,2.478169184
2021-09-01,sum_mean_weighted,2.520306034
2021-10-01,sum_mean_weighted,2.532130468
2021-11-01,sum_mean_weighted,2.531748498
2021-12-01,sum_mean_weighted,2.562868334
2022-01-01,sum_mean_weighted,2.577673378
