State,RN,Price
AK,28.18729989,20.02
AL,10.73754042,10.18
AR,8.755414151,9.1
AZ,13.34580978,10.73
CA,41.21580084,19.65
CO,32.76484456,10.9
CT,3.43097313,18.32
DC,35.05521944,12.81
DE,3.150267844,10.5
FL,5.489218266,10.67
GA,11.57401924,10.43
HI,19.01716553,30.31
IA,57.2927365,9.13
ID,70.22159569,8.17
IL,11.09449334,10.14
IN,9.818708682,10.36
KS,45.63498885,10.47
KY,7.634534849,9.12
LA,3.439829036,8.82
MA,19.95372368,19.06
MD,9.523727202,11.48
ME,66.11077925,13.96
MI,10.24043933,12.93
MN,27.19747419,11.08
MO,11.01039999,9.85
MS,2.645285727,9.5
MT,51.29379709,9.5
NC,14.21847729,9.29
ND,39.33322021,8.65
NE,28.66772241,8.84
NH,14.31730143,17.37
NJ,3.456675766,14.01
NM,35.6043818,9.79
NV,30.74350112,8.58
NY,28.79995255,16.11
OH,3.557442529,9.76
OK,44.20974061,8.52
OR,65.03833677,8.95
PA,3.555015962,9.97
RI,7.175140959,18.44
SC,6.939781884,9.96
SD,82.74814432,10.43
TN,15.10037371,9.78
TX,24.23172831,9.14
UT,12.44792132,8.34
VA,8.79054858,9.14
VT,99.66214404,16.34
WA,74.21648382,8.75
WI,8.053977131,11.01
WV,5.071484909,8.87
WY,21.66869716,8.25
