,year,quarter,country,value,quarter-1,date
0,2004-01-01,1,China,0.6,0,2004-01-01
1,2004-01-01,2,China,0.3,1,2004-03-01
2,2004-01-01,3,China,0.6,2,2004-06-01
3,2004-01-01,4,China,0.9,3,2004-09-01
4,2005-01-01,1,China,1.4,0,2005-01-01
5,2005-01-01,2,China,2.4,1,2005-03-01
6,2005-01-01,3,China,1.5,2,2005-06-01
7,2005-01-01,4,China,2.4,3,2005-09-01
8,2006-01-01,1,China,1.9,0,2006-01-01
9,2006-01-01,2,China,2.0,1,2006-03-01
10,2006-01-01,3,China,2.7,2,2006-06-01
11,2006-01-01,4,China,2.4,3,2006-09-01
12,2007-01-01,1,China,2.6,0,2007-01-01
13,2007-01-01,2,China,3.8,1,2007-03-01
14,2007-01-01,3,China,4.4,2,2007-06-01
15,2007-01-01,4,China,2.8,3,2007-09-03
16,2008-01-01,1,China,3.3,0,2008-01-01
17,2008-01-01,2,China,7.4,1,2008-03-03
18,2008-01-01,3,China,6.3,2,2008-06-02
19,2008-01-01,4,China,5.5,3,2008-09-01
20,2009-01-01,1,China,6.8,0,2009-01-01
21,2009-01-01,2,China,7.7,1,2009-03-02
22,2009-01-01,3,China,8.9,2,2009-06-01
23,2009-01-01,4,China,8.5,3,2009-09-01
24,2010-01-01,1,China,8.1,0,2010-01-01
25,2010-01-01,2,China,10.5,1,2010-03-01
26,2010-01-01,3,China,9.4,2,2010-06-01
27,2010-01-01,4,China,7.0,3,2010-09-01
28,2011-01-01,1,China,8.2,0,2011-01-01
29,2011-01-01,2,China,13.3,1,2011-03-01
30,2011-01-01,3,China,9.9,2,2011-06-01
31,2011-01-01,4,China,8.5,3,2011-09-01
32,2012-01-01,1,China,9.6,0,2012-01-01
33,2012-01-01,2,China,17.1,1,2012-03-01
34,2012-01-01,3,China,15.3,2,2012-06-01
35,2012-01-01,4,China,13.0,3,2012-09-03
36,2013-01-01,1,China,8.2,0,2013-01-01
37,2013-01-01,2,China,20.4,1,2013-03-01
38,2013-01-01,3,China,17.5,2,2013-06-03
39,2013-01-01,4,China,15.1,3,2013-09-02
40,2014-01-01,1,China,15.5,0,2014-01-01
41,2014-01-01,2,China,23.0,1,2014-03-03
42,2014-01-01,3,China,27.1,2,2014-06-02
43,2014-01-01,4,China,21.1,3,2014-09-01
44,2015-01-01,1,China,19.3,0,2015-01-01
45,2015-01-01,2,China,35.0,1,2015-03-02
46,2015-01-01,3,China,31.4,2,2015-06-01
47,2015-01-01,4,China,32.3,3,2015-09-01
48,2016-01-01,1,China,24.5,0,2016-01-01
49,2016-01-01,2,China,28.3,1,2016-03-01
50,2016-01-01,3,China,19.9,2,2016-06-01
51,2016-01-01,4,China,28.7,3,2016-09-01
52,2017-01-01,1,China,40.2,0,2017-01-01
53,2017-01-01,2,China,34.3,1,2017-03-01
54,2017-01-01,3,China,28.5,2,2017-06-01
55,2017-01-01,4,China,40.3,3,2017-09-01
56,2018-01-01,1,China,18.8,0,2018-01-01
57,2018-01-01,2,China,25.7,1,2018-03-01
58,2018-01-01,3,China,19.6,2,2018-06-01
59,2018-01-01,4,China,28.2,3,2018-09-03
60,2019-01-01,1,China,11.3,0,2019-01-01
61,2019-01-01,2,China,18.1,1,2019-03-01
62,2019-01-01,3,China,26.9,2,2019-06-03
63,2019-01-01,4,China,33.1,3,2019-09-02
64,2020-01-01,1,China,20.7,0,2020-01-01
65,2020-01-01,2,China,20.9,1,2020-03-02
66,2004-01-01,1,U.S.,1.2,0,2004-01-01
67,2004-01-01,2,U.S.,1.4,1,2004-03-01
68,2004-01-01,3,U.S.,0.7,2,2004-06-01
69,2004-01-01,4,U.S.,1.5,3,2004-09-01
70,2005-01-01,1,U.S.,1.5,0,2005-01-01
71,2005-01-01,2,U.S.,3.1,1,2005-03-01
72,2005-01-01,3,U.S.,1.6,2,2005-06-01
73,2005-01-01,4,U.S.,3.0,3,2005-09-01
74,2006-01-01,1,U.S.,5.2,0,2006-01-01
75,2006-01-01,2,U.S.,3.4,1,2006-03-01
76,2006-01-01,3,U.S.,5.6,2,2006-06-01
77,2006-01-01,4,U.S.,9.4,3,2006-09-01
78,2007-01-01,1,U.S.,4.8,0,2007-01-01
79,2007-01-01,2,U.S.,5.1,1,2007-03-01
80,2007-01-01,3,U.S.,7.2,2,2007-06-01
81,2007-01-01,4,U.S.,9.1,3,2007-09-03
82,2008-01-01,1,U.S.,8.1,0,2008-01-01
83,2008-01-01,2,U.S.,6.9,1,2008-03-03
84,2008-01-01,3,U.S.,5.6,2,2008-06-02
85,2008-01-01,4,U.S.,5.9,3,2008-09-01
86,2009-01-01,1,U.S.,2.5,0,2009-01-01
87,2009-01-01,2,U.S.,4.0,1,2009-03-02
88,2009-01-01,3,U.S.,3.7,2,2009-06-01
89,2009-01-01,4,U.S.,4.9,3,2009-09-01
90,2010-01-01,1,U.S.,4.5,0,2010-01-01
91,2010-01-01,2,U.S.,6.4,1,2010-03-01
92,2010-01-01,3,U.S.,5.6,2,2010-06-01
93,2010-01-01,4,U.S.,10.7,3,2010-09-01
94,2011-01-01,1,U.S.,3.8,0,2011-01-01
95,2011-01-01,2,U.S.,15.5,1,2011-03-01
96,2011-01-01,3,U.S.,17.9,2,2011-06-01
97,2011-01-01,4,U.S.,8.1,3,2011-09-01
98,2012-01-01,1,U.S.,7.6,0,2012-01-01
99,2012-01-01,2,U.S.,14.3,1,2012-03-01
100,2012-01-01,3,U.S.,6.5,2,2012-06-01
101,2012-01-01,4,U.S.,6.6,3,2012-09-03
102,2013-01-01,1,U.S.,3.4,0,2013-01-01
103,2013-01-01,2,U.S.,7.1,1,2013-03-01
104,2013-01-01,3,U.S.,6.8,2,2013-06-03
105,2013-01-01,4,U.S.,11.8,3,2013-09-02
106,2014-01-01,1,U.S.,6.2,0,2014-01-01
107,2014-01-01,2,U.S.,7.2,1,2014-03-03
108,2014-01-01,3,U.S.,8.1,2,2014-06-02
109,2014-01-01,4,U.S.,10.2,3,2014-09-01
110,2015-01-01,1,U.S.,7.5,0,2015-01-01
111,2015-01-01,2,U.S.,9.2,1,2015-03-02
112,2015-01-01,3,U.S.,11.4,2,2015-06-01
113,2015-01-01,4,U.S.,9.3,3,2015-09-01
114,2016-01-01,1,U.S.,10.7,0,2016-01-01
115,2016-01-01,2,U.S.,11.6,1,2016-03-01
116,2016-01-01,3,U.S.,9.5,2,2016-06-01
117,2016-01-01,4,U.S.,9.2,3,2016-09-01
118,2017-01-01,1,U.S.,8.9,0,2017-01-01
119,2017-01-01,2,U.S.,13.2,1,2017-03-01
120,2017-01-01,3,U.S.,16.1,2,2017-06-01
121,2017-01-01,4,U.S.,7.7,3,2017-09-01
122,2018-01-01,1,U.S.,13.2,0,2018-01-01
123,2018-01-01,2,U.S.,10.8,1,2018-03-01
124,2018-01-01,3,U.S.,12.2,2,2018-06-01
125,2018-01-01,4,U.S.,6.7,3,2018-09-03
126,2019-01-01,1,U.S.,10.1,0,2019-01-01
127,2019-01-01,2,U.S.,15.4,1,2019-03-01
128,2019-01-01,3,U.S.,18.8,2,2019-06-03
129,2019-01-01,4,U.S.,17.0,3,2019-09-02
130,2020-01-01,1,U.S.,10.4,0,2020-01-01
131,2020-01-01,2,U.S.,7.4,1,2020-03-02
132,2004-01-01,1,Other,0.4,0,2004-01-01
133,2004-01-01,2,Other,0.7,1,2004-03-01
134,2004-01-01,3,Other,0.9,2,2004-06-01
135,2004-01-01,4,Other,0.9,3,2004-09-01
136,2005-01-01,1,Other,1.1,0,2005-01-01
137,2005-01-01,2,Other,0.9,1,2005-03-01
138,2005-01-01,3,Other,1.2,2,2005-06-01
139,2005-01-01,4,Other,1.2,3,2005-09-01
140,2006-01-01,1,Other,0.9,0,2006-01-01
141,2006-01-01,2,Other,0.9,1,2006-03-01
142,2006-01-01,3,Other,1.1,2,2006-06-01
143,2006-01-01,4,Other,1.8,3,2006-09-01
144,2007-01-01,1,Other,1.9,0,2007-01-01
145,2007-01-01,2,Other,2.0,1,2007-03-01
146,2007-01-01,3,Other,1.3,2,2007-06-01
147,2007-01-01,4,Other,2.6,3,2007-09-03
148,2008-01-01,1,Other,2.5,0,2008-01-01
149,2008-01-01,2,Other,2.5,1,2008-03-03
150,2008-01-01,3,Other,2.1,2,2008-06-02
151,2008-01-01,4,Other,4.2,3,2008-09-01
152,2009-01-01,1,Other,2.8,0,2009-01-01
153,2009-01-01,2,Other,2.6,1,2009-03-02
154,2009-01-01,3,Other,3.1,2,2009-06-01
155,2009-01-01,4,Other,3.4,3,2009-09-01
156,2010-01-01,1,Other,4.0,0,2010-01-01
157,2010-01-01,2,Other,4.2,1,2010-03-01
158,2010-01-01,3,Other,3.3,2,2010-06-01
159,2010-01-01,4,Other,7.4,3,2010-09-01
160,2011-01-01,1,Other,4.5,0,2011-01-01
161,2011-01-01,2,Other,3.5,1,2011-03-01
162,2011-01-01,3,Other,3.8,2,2011-06-01
163,2011-01-01,4,Other,5.7,3,2011-09-01
164,2012-01-01,1,Other,4.4,0,2012-01-01
165,2012-01-01,2,Other,4.0,1,2012-03-01
166,2012-01-01,3,Other,6.2,2,2012-06-01
167,2012-01-01,4,Other,9.3,3,2012-09-03
168,2013-01-01,1,Other,3.6,0,2013-01-01
169,2013-01-01,2,Other,7.5,1,2013-03-01
170,2013-01-01,3,Other,4.1,2,2013-06-03
171,2013-01-01,4,Other,4.5,3,2013-09-02
172,2014-01-01,1,Other,4.4,0,2014-01-01
173,2014-01-01,2,Other,6.2,1,2014-03-03
174,2014-01-01,3,Other,5.9,2,2014-06-02
175,2014-01-01,4,Other,7.4,3,2014-09-01
176,2015-01-01,1,Other,7.9,0,2015-01-01
177,2015-01-01,2,Other,7.3,1,2015-03-02
178,2015-01-01,3,Other,4.8,2,2015-06-01
179,2015-01-01,4,Other,5.6,3,2015-09-01
180,2016-01-01,1,Other,5.8,0,2016-01-01
181,2016-01-01,2,Other,6.3,1,2016-03-01
182,2016-01-01,3,Other,4.8,2,2016-06-01
183,2016-01-01,4,Other,5.5,3,2016-09-01
184,2017-01-01,1,Other,3.1,0,2017-01-01
185,2017-01-01,2,Other,7.2,1,2017-03-01
186,2017-01-01,3,Other,5.8,2,2017-06-01
187,2017-01-01,4,Other,6.6,3,2017-09-01
188,2018-01-01,1,Other,10.4,0,2018-01-01
189,2018-01-01,2,Other,9.6,1,2018-03-01
190,2018-01-01,3,Other,10.6,2,2018-06-01
191,2018-01-01,4,Other,8.3,3,2018-09-03
192,2019-01-01,1,Other,11.4,0,2019-01-01
193,2019-01-01,2,Other,7.6,1,2019-03-01
194,2019-01-01,3,Other,6.8,2,2019-06-03
195,2019-01-01,4,Other,6.1,3,2019-09-02
196,2020-01-01,1,Other,6.6,0,2020-01-01
197,2020-01-01,2,Other,7.7,1,2020-03-02
198,2004-01-01,1,Germany,1.9,0,2004-01-01
199,2004-01-01,2,Germany,3.5,1,2004-03-01
200,2004-01-01,3,Germany,1.6,2,2004-06-01
201,2004-01-01,4,Germany,1.9,3,2004-09-01
202,2005-01-01,1,Germany,1.9,0,2005-01-01
203,2005-01-01,2,Germany,3.7,1,2005-03-01
204,2005-01-01,3,Germany,2.4,2,2005-06-01
205,2005-01-01,4,Germany,2.6,3,2005-09-01
206,2006-01-01,1,Germany,1.9,0,2006-01-01
207,2006-01-01,2,Germany,3.9,1,2006-03-01
208,2006-01-01,3,Germany,2.2,2,2006-06-01
209,2006-01-01,4,Germany,3.1,3,2006-09-01
210,2007-01-01,1,Germany,2.5,0,2007-01-01
211,2007-01-01,2,Germany,5.4,1,2007-03-01
212,2007-01-01,3,Germany,3.3,2,2007-06-01
213,2007-01-01,4,Germany,3.5,3,2007-09-03
214,2008-01-01,1,Germany,3.2,0,2008-01-01
215,2008-01-01,2,Germany,4.8,1,2008-03-03
216,2008-01-01,3,Germany,4.7,2,2008-06-02
217,2008-01-01,4,Germany,4.0,3,2008-09-01
218,2009-01-01,1,Germany,5.0,0,2009-01-01
219,2009-01-01,2,Germany,7.1,1,2009-03-02
220,2009-01-01,3,Germany,6.3,2,2009-06-01
221,2009-01-01,4,Germany,7.2,3,2009-09-01
222,2010-01-01,1,Germany,7.3,0,2010-01-01
