,Country,valueB,date,value,percentageofGDP
0,Australia,641.9228,2004-01-01,0.2,0.00031156394507252273
1,Australia,650.958,2004-03-01,0.0,0.0
2,Australia,659.2961,2004-06-01,0.3,0.0004550307517365869
3,Australia,668.2295,2004-09-01,0.1,0.00014964918489830214
4,Australia,677.2023,2005-01-01,0.2,0.0002953327240619236
5,Australia,685.4277,2005-03-01,0.1,0.00014589430803569803
6,Australia,700.0454,2005-06-01,0.5,0.0007142393907595136
7,Australia,712.9192,2005-09-01,0.0,0.0
8,Australia,721.3906,2006-01-01,0.5,0.0006931057876273963
9,Australia,731.0046,2006-03-01,0.4,0.0005471921790916228
10,Australia,748.5622,2006-06-01,0.3,0.0004007682995481204
11,Australia,761.9865,2006-09-01,0.3,0.0003937077625391001
12,Australia,779.3114,2007-01-01,0.1,0.00012831841032994
13,Australia,788.6629,2007-03-01,0.1,0.00012679688622350564
14,Australia,800.2038,2007-06-01,0.1,0.00012496816436012925
15,Australia,806.7049,2007-09-03,0.5,0.0006198053340199124
16,Australia,817.4402,2008-01-01,0.2,0.0002446662153390548
17,Australia,827.3755,2008-03-03,0.1,0.00012086410583828021
18,Australia,845.0819,2008-06-02,0.5,0.0005916586309563605
19,Australia,850.3521,2008-09-01,0.1,0.00011759834543831903
20,Australia,866.4324,2009-01-01,0.4,0.00046166325266691323
21,Australia,874.2771,2009-03-02,0.4,0.0004575208477952814
22,Australia,879.2569,2009-06-01,0.6,0.0006823944173767643
23,Australia,887.1079,2009-09-01,0.6,0.000676355153640273
24,Australia,887.9474,2010-01-01,1.4,0.0015766699694148548
25,Australia,898.6575,2010-03-01,0.8,0.0008902167956090056
26,Australia,910.6161,2010-06-01,1.5,0.0016472364149942
27,Australia,931.8539,2010-09-01,0.7,0.0007511907177723889
28,Australia,947.9989,2011-01-01,1.2,0.0012658242535935431
29,Australia,971.0868,2011-03-01,1.5,0.0015446610951770738
30,Australia,985.0741,2011-06-01,1.2,0.0012181824697248664
31,Australia,981.1607,2011-09-01,1.6,0.0016307216544649617
