Date,p_mean,quarterly1,quarterly2
2010-01-01,21.82395,,
2010-02-01,21.83866,,
2010-03-01,21.82199,,
2010-04-01,21.8358,0.054298145,
2010-05-01,21.87277,,
2010-06-01,21.91144,,
2010-07-01,21.95128,,0.592475755
2010-08-01,22.01004,0.627583978,
2010-09-01,22.02109,,
2010-10-01,22.04083,,
2010-11-01,21.99714,,0.208917202
2010-12-01,22.0104,-0.048544373,
2011-01-01,21.98785,,
2011-02-01,21.98286,,
2011-03-01,21.99032,,-0.031004031
2011-04-01,21.98818,0.001500829,
2011-05-01,21.96498,,
2011-06-01,22.09416,,
2011-07-01,22.12981,,0.634324557
2011-08-01,22.15577,0.868609942,
2011-09-01,22.16143,,
2011-10-01,22.15592,,
2011-11-01,22.13972,,0.044781225
2011-12-01,22.13568,-0.116192863,
2012-01-01,22.12986,,
2012-02-01,22.16854,,
2012-03-01,22.15841,,0.084418412
2012-04-01,22.23209,0.461955024,
2012-05-01,22.24491,,
2012-06-01,22.23084,,
2012-07-01,22.21482,,0.254576028
2012-08-01,22.18326,-0.277142052,
2012-09-01,22.1662,,
2012-10-01,22.16014,,
2012-11-01,22.15626,,-0.263607808
2012-12-01,22.21832,0.23513277,
2013-01-01,22.21732,,
2013-02-01,22.2259,,
2013-03-01,22.19107,,0.157111354
2013-04-01,22.22634,0.040598956,
2013-05-01,22.26907,,
2013-06-01,22.26907,,
2013-07-01,22.31385,,0.553285623
2013-08-01,22.33891,0.313618844,
2013-09-01,22.29836,,
2013-10-01,22.32071,,
2013-11-01,22.39739,,0.374386312
2013-12-01,22.38427,0.385274971,
2014-01-01,22.3778,,
2014-02-01,22.44116,,
2014-03-01,22.43884,,0.185066206
2014-04-01,22.48052,0.459026356,
2014-05-01,22.53866,,
2014-06-01,22.55587,,
2014-07-01,22.58055,,0.631538885
2014-08-01,22.59907,0.268028357,
2014-09-01,22.6216,,
2014-10-01,22.67251,,
2014-11-01,22.66776,,0.386217342
2014-12-01,22.68645,0.286672914,
2015-01-01,22.76122,,
2015-02-01,22.76698,,
2015-03-01,22.77991,,0.494755547
2015-04-01,22.81903,0.253984628,
2015-05-01,22.84481,,
2015-06-01,22.90479,,
2015-07-01,22.94455,,0.7227421
2015-08-01,22.97865,0.585866111,
2015-09-01,23.0136,,
2015-10-01,23.05098,,
2015-11-01,23.08098,,0.594607434
2015-12-01,23.14816,0.584697744,
2016-01-01,23.18245,,
2016-02-01,23.23901,,
2016-03-01,23.24144,,0.69520445
2016-04-01,23.29164,0.471002849,
2016-05-01,23.33986,,
2016-06-01,23.43245,,
2016-07-01,23.50653,,1.140591977
2016-08-01,23.54357,0.872798723,
2016-09-01,23.59028,,
2016-10-01,23.63165,,
2016-11-01,23.70051,,0.825217503
2016-12-01,23.78431,0.822499775,
2017-01-01,23.8306,,
2017-02-01,23.92338,,
2017-03-01,23.96486,,1.115376842
2017-04-01,24.05772,0.953060351,
2017-05-01,24.12411,,
2017-06-01,24.23749,,
2017-07-01,24.39415,,1.791331141
2017-08-01,24.47944,1.472924804,
2017-09-01,24.54679,,
2017-10-01,24.63813,,
2017-11-01,24.61765,,0.91620327
2017-12-01,24.68083,0.546059179,
2018-01-01,24.79509,,
2018-02-01,24.89098,,
2018-03-01,24.98854,,1.506601971
2018-04-01,25.06804,1.100822784,
2018-05-01,25.09863,,
2018-06-01,25.20099,,
2018-07-01,25.23446,,0.984131126
2018-08-01,25.37986,1.120499406,
2018-09-01,25.4394,,
2018-10-01,25.51836,,
2018-11-01,25.52284,,1.142802343
2018-12-01,25.59261,0.60225477,
2019-01-01,25.60571,,
2019-02-01,25.82764,,
2019-03-01,25.92738,,1.585011699
2019-04-01,25.99981,1.539109831,
2019-05-01,26.08986,,
2019-06-01,26.18673,,
2019-07-01,26.25803,,1.27529276
2019-08-01,26.33315,0.932507879,
2019-09-01,26.45308,,
2019-10-01,26.45815,,
2019-11-01,26.544,,1.08907637
2019-12-01,26.62074,0.633801433,
2020-01-01,26.77104,,
2020-02-01,26.85262,,
2020-03-01,26.9641,,1.582655214
2020-04-01,26.97519,0.762577771,
2020-05-01,27.03218,,
2020-06-01,27.13057,,
2020-07-01,27.24401,,1.038083971
2020-08-01,27.41765,1.425967125,
2020-09-01,27.59789,,
2020-10-01,27.74055,,
2020-11-01,27.78725,,1.993979594
2020-12-01,27.88009,1.022541941,
2021-01-01,27.90912,,
2021-02-01,,,
2021-03-01,28.37079,,2.10002789
2021-04-01,28.37079,1.654190458,
2021-05-01,28.37079,,
2021-06-01,28.52645,,
2021-07-01,28.66751,,1.045864426
2021-08-01,28.9801,2.147666667,
2021-09-01,29.19811,,
2021-10-01,29.55147,,
2021-11-01,29.71531,,3.655008754
2021-12-01,29.95455,2.590715632,
2022-01-01,30.14554,,
2022-02-01,30.3615,,
2022-03-01,30.48131,,2.577795756
2022-04-01,30.73005,1.938960125,
2022-05-01,31.25829,,
2022-06-01,31.69104,,
2022-07-01,32.10465,,5.325689742
2022-08-01,32.44388,3.792881824,
2022-09-01,32.73235,,
2022-10-01,33.11911,,
2022-11-01,33.24879,,3.563782817
