State,Name,Total Clean Energy Jobs,Growth,Percentage of Statewide Workforce,,Percentage total renewables 
AK,Alaska,5006,3.3,1.7,1859183,28.18729989
AL,Alabama,41984,6.3,2.1,15326049,42.9910365
AR,Arkansas,19965,6.2,1.6,5349564,30.94145165
AZ,Arizona,59383,5.1,1.9,14494166,42.46967394
CA,California,505083,4.1,2.9,81263923,49.5728652
CO,Colorado,61179,5.2,2.2,18623037,32.76484456
CT,Connecticut,41458,3.9,2.5,1512371,42.4884397
DC,District of Columbia,14244,4.9,1.9,73990,35.05521943
DE,Delaware,12268,2.4,2.7,135623,3.150267843
FL,Florida,158467,5.9,1.7,13528199,16.87418248
GA,Georgia,75211,5.8,1.6,14374993,38.91043764
HI,Hawaii,12873,2.6,2.1,1746124,19.01716553
IA,Iowa,30393,5,2,38504734,57.2927365
ID,Idaho,13409,6.9,1.7,11822840,70.2215957
IL,Illinois,120775,4.9,2.1,20139219,64.52776537
IN,Indiana,86215,6.9,2.8,9245767,9.818708682
KS,Kansas,23821,5.5,1.7,25843415,60.77647844
KY,Kentucky,35437,6.9,1.8,5337182,7.634534849
LA,Louisiana,28094,6.4,1.5,3395638,20.91297831
MA,Massachusetts,113409,4.1,3.2,3886456,19.95372368
MD,Maryland,80025,2.8,3,3641465,48.73741468
ME,Maine,12493,4.8,2,7211459,66.11077925
MI,Michigan,119853,5.6,2.8,11829052,39.96720633
MN,Minnesota,57931,4.7,2.1,16099754,51.0552114
MO,Missouri,54397,5.5,1.9,8471557,16.58923329
MS,Mississippi,20018,6.8,1.7,1791480,20.02781693
MT,Montana,9898,4.6,2,12796737,51.29379708
NC,North Carolina,103854,4.2,2.2,18473124,47.40550822
ND,North Dakota,8614,4.3,2.1,16926020,39.33322021
NE,Nebraska,18822,5.5,1.9,10868191,46.81717906
NH,New Hampshire,15915,3.9,2.4,2461610,71.64279083
NJ,New Jersey,53334,6.5,1.3,2123567,49.26550196
NM,New Mexico,12014,8.1,1.5,12530024,35.6043818
NV,Nevada,32378,3.8,2.3,12836821,30.74350112
NY,New York,160642,4.9,1.7,35984082,53.75221092
OH,Ohio,110272,6.6,2.1,4480528,17.43857434
OK,Oklahoma,21602,7.3,1.3,35701393,44.20974061
OR,Oregon,53869,3.3,2.8,39684360,65.03833677
PA,Pennsylvania,92773,6.3,1.6,8579371,35.00658145
RI,Rhode Island,14309,3.1,3,668899,7.175140958
SC,South Carolina,44011,5.1,2,6828082,61.59085109
SD,South Dakota,11860,4,2.7,14333972,82.74814433
TN,Tennessee,77685,6.5,2.5,11937934,59.79004521
TX,Texas,238884,6.9,1.8,116759191,32.57700928
UT,Utah,43452,4.7,2.7,5298538,12.44792132
VA,Virginia,92315,4.5,2.4,8217245,39.35545195
VT,Vermont,15668,2.8,5.2,2100582,99.66214405
WA,Washington,76905,1.6,2.2,82238099,81.8975693
WI,Wisconsin,71370,2.9,2.5,5176813,23.5653897
WV,West Virginia,9540,6,1.4,3338866,5.071484909
WY,Wyoming,8226,2.3,3.1,9417377,21.66869716
