State,Name,Total Clean Energy Jobs,Growth,Percentage of Statewide Workforce,Total renewable generation,Percentage total renewables,Total renewable capacity,Growth in renewable capacity,Growth18_20,GrowthJune_Dec2020
AL,Alabama,41984,6.3,2.1,15326049,42.9910365,4203.1,5.400775618,6.6,13.3
AK,Alaska,5006,3.3,1.7,1859183,28.18729989,548.1,0.912242292,5.2,17.1
AZ,Arizona,59383,5.1,1.9,14494166,42.46967394,5780.6,6.900667751,7.4,7
AR,Arkansas,19965,6.2,1.6,5349564,30.94145165,1832.2,-0.436633555,5.1,9.5
CA,California,505083,4.1,2.9,81263923,49.5728652,34699.7,3.264581538,2.2,13.5
CO,Colorado,61179,5.2,2.2,18623037,32.76484456,6114.8,11.2562962,9.6,6
CT,Connecticut,41458,3.9,2.5,1512371,42.4884397,533.6,15.64842579,4.4,11.1
DE,Delaware,12268,2.4,2.7,135623,3.150267843,51,6.470588235,3.3,5.6
DC,District of Columbia,14244,4.9,1.9,73990,35.05521943,23.4,25.64102564,5.4,8.8
FL,Florida,158467,5.9,1.7,13528199,16.87418248,5182.4,22.24259031,9.6,12
GA,Georgia,75211,5.8,1.6,14374993,38.91043764,5283.3,15.68337971,9.9,29.6
HI,Hawaii,12873,2.6,2.1,1746124,19.01716553,769.8,0.506625097,5,31.9
ID,Idaho,13409,6.9,1.7,11822840,70.2215957,4071.9,0.058940544,9.2,10.8
IL,Illinois,120775,4.9,2.1,20139219,64.52776537,6574.5,21.16054453,5.8,6.7
IN,Indiana,86215,6.9,2.8,9245767,9.818708682,3399.9,24.72719786,4.7,12.5
IA,Iowa,30393,5,2,38504734,57.2927365,11575.1,4.772312982,6,8.2
KS,Kansas,23821,5.5,1.7,25843415,60.77647844,6881.4,20.72398059,8,5.9
KY,Kentucky,35437,6.9,1.8,5337182,7.634534849,1242.4,0.338055377,7.9,26.8
LA,Louisiana,28094,6.4,1.5,3395638,20.91297831,755.3,0,11.6,17.5
ME,Maine,12493,4.8,2,7211459,66.11077925,2410.8,2.770864443,8.1,12.4
MD,Maryland,80025,2.8,3,3641465,48.73741468,1266.5,3.363600474,3.5,8.2
MA,Massachusetts,113409,4.1,3.2,3886456,19.95372368,1723.6,12.08517057,3.6,5.9
MI,Michigan,119853,5.6,2.8,11829052,39.96720633,3775.3,17.31782905,3.4,20.4
MN,Minnesota,57931,4.7,2.1,16099754,51.0552114,5963.8,8.056943559,6,10.1
MS,Mississippi,20018,6.8,1.7,1791480,20.02781693,530.7,-15.13095911,5.2,11.7
MO,Missouri,54397,5.5,1.9,8471557,16.58923329,2571.8,17.9135236,4,9.3
MT,Montana,9898,4.6,2,12796737,51.29379708,3552.1,6.888882633,7.5,11.4
NE,Nebraska,18822,5.5,1.9,10868191,46.81717906,2950,13.22372881,5.8,11.6
NH,New Hampshire,15915,3.9,2.4,2461610,71.64279083,1007.2,-1.588562351,5.1,3
NJ,New Jersey,53334,6.5,1.3,2123567,49.26550196,1197.7,5.811138015,10.8,10.5
NM,New Mexico,12014,8.1,1.5,12530024,35.6043818,3400.8,50.3440367,9.1,13.2
NY,New York,160642,4.9,1.7,35984082,53.75221092,7872.7,5.658795585,8.7,10.5
NC,North Carolina,103854,4.2,2.2,18473124,47.40550822,7820,6.218670077,5.2,16.6
ND,North Dakota,8614,4.3,2.1,16926020,39.33322021,4628.3,6.455934144,5.8,12.5
OH,Ohio,110272,6.6,2.1,4480528,17.43857434,1265.7,48.67662163,6.4,10.1
OK,Oklahoma,21602,7.3,1.3,35701393,44.20974061,10275.9,10.62096751,10.7,14.9
OR,Oregon,53869,3.3,2.8,39684360,65.03833677,13166.4,1.172681978,3.6,10.6
PA,Pennsylvania,92773,6.3,1.6,8579371,35.00658145,3058.5,0.837011607,9.6,20.9
RI,Rhode Island,14309,3.1,3,668899,7.175140958,300.1,18.96034655,3.4,10.6
SC,South Carolina,44011,5.1,2,6828082,61.59085109,3076.9,1.303259774,6,13.7
SD,South Dakota,11860,4,2.7,14333972,82.74814433,3805.2,15.98601913,4.4,9.2
TN,Tennessee,77685,6.5,2.5,11937934,59.79004521,2918.7,0.301504094,3.9,5.7
TX,Texas,238884,6.9,1.8,116759191,32.57700928,36147.9,22.71141615,9.2,7.2
UT,Utah,43452,4.7,2.7,5298538,12.44792132,1947.3,13.43398552,7.4,3.8
VT,Vermont,15668,2.8,5.2,2100582,99.66214405,695.6,1.437607821,0.8,9.7
VA,Virginia,92315,4.5,2.4,8217245,39.35545195,3046.6,29.95142126,5.8,6.5
WA,Washington,76905,1.6,2.2,82238099,81.8975693,25111.4,-0.264819962,3.8,18.6
WV,West Virginia,9540,6,1.4,3338866,5.071484909,1116.3,-0.134372481,10.3,9.5
WI,Wisconsin,71370,2.9,2.5,5176813,23.5653897,1881.7,15.59228357,2.8,6.2
WY,Wyoming,8226,2.3,3.1,9417377,21.66869716,3003.7,17.36857875,3.3,5.3
