Year,Name,State,Percentage Coal,Percentage Geothermal,Percentage Hydro,Percentage Natural Gas,Percentage Nuclear,Percentage Other,Percentage Other Biomass,Percentage Other Gases,Percentage Petroleum,Percentage Solar,Percentage Total,Percentage Wind,Percentage Wood Fuels,Percentage Total Renewable,Percentage Renewable Including Nuclear,co2 per cap
1990,Alaska,AK,9.118179354,,17.40369597,61.90297858,,,,,8.877854582,,100,,2.697291511,20.10098748,20.10098748,61.4
1990,Alabama,AL,67.36557199,,13.01472617,1.281464741,15.13064565,,0.059638076,0.338316113,0.1733651,,100,,2.636272151,15.7106364,30.84128205,27.1
1990,Arkansas,AR,49.12565853,,9.347034719,9.152454713,28.85465216,,0.039358461,,0.204551975,,100,,3.166385496,12.55277868,41.40743084,21.5
1990,Arizona,AZ,50.84184376,,11.81626295,3.717922958,32.81229736,,,,0.241925449,,100,,0.17186652,11.98812947,44.80042684,17.1
1990,California,CA,1.591023583,8.759092783,14.3514673,44.73767151,19.72001384,,1.277507713,1.294895906,3.301779416,0.221170915,100,1.664132771,2.486345726,28.75971721,48.47973105,12.0
1990,Colorado,CO,91.60276104,,4.362370836,3.96364436,,,0.089068105,,0.084152308,,100,,,4.451438941,4.451438941,20.1
1990,Connecticut,CT,10.22738708,,1.623509801,3.560674325,56.26685356,,3.053752688,1.14e-05,25.24939151,,100,,,4.677262489,60.94411605,12.3
1990,District of Columbia,DC,,,,,,,,,100.0,,100,,,,,7.3
1990,Delaware,DE,65.21046994,,,9.730523497,,0.080533061,,2.102671683,22.87580182,,100,,,,,26.9
1990,Florida,FL,45.7027302,,0.132776129,14.17667001,16.5620815,1.104999079,1.272277961,,19.4179789,,100,,1.630486216,3.035540306,19.5976218,14.4
1990,Georgia,GA,66.75255808,,4.469067131,0.80846275,24.14820525,9.74e-07,0.131913487,,0.486413759,,100,,2.870218055,7.471198673,31.61940392,21.3
1990,Hawaii,HI,0.02453943,,0.81952007,,,,8.657389161,0.166581605,90.03488907,,100,0.297080663,,9.773989895,9.773989895,19.2
1990,Iowa,IA,85.71264577,,2.912725541,1.109653792,10.02370284,,0.059971031,,0.181301034,,100,,,2.972696572,12.99639941,22.8
1990,Idaho,ID,0.457835366,,94.05162785,0.574876373,,0.672787166,,,0.010256437,,100,,4.23261681,98.28424466,98.28424466,11.2
1990,Illinois,IL,42.48007444,,0.111232129,1.097352102,55.55756177,,0.119678524,0.294887328,0.338956352,,100,,0.000257357,0.23116801,55.78872978,16.8
1990,Indiana,IN,95.57119924,,0.43485855,1.450284782,,,0.036598359,1.651150285,0.85590878,,100,,,0.471456909,0.471456909,37.1
1990,Kansas,KS,69.38820309,,0.038713048,7.321390872,23.03501518,,,,0.216546174,,100,0.000131637,,0.038844685,23.07385987,27.7
1990,Kentucky,KY,95.51964965,,4.281939049,0.037660239,,,,,0.160751067,,100,,,4.281939049,4.281939049,32.6
1990,Louisiana,LA,23.35256638,,0.858545205,51.62432586,18.56622904,1.690719085,0.11985254,0.576337369,0.30353245,,100,,2.907892082,3.886289827,22.45251886,45.4
1990,Massachusetts,MA,28.54962161,,3.13793086,15.4045372,12.73421567,,3.919807513,0.00208485,37.93370633,,100,,,7.057738373,19.79195404,13.8
1990,Maryland,MD,70.89335683,,6.932301302,4.590885938,3.773611305,,1.118963671,1.472144929,10.76907471,,100,,0.44966132,8.500926293,12.2745376,14.7
1990,Maine,ME,2.842202446,,25.65240442,0.318487115,30.48239516,,2.262621869,,19.32207008,,100,,19.11981891,47.0348452,77.51724036,15.3
1990,Michigan,MI,67.02683018,,1.626946111,7.833276636,21.59759824,,0.310656423,0.340745449,0.861210539,,100,,1.097307501,3.034910036,24.63250828,19.3
1990,Minnesota,MN,65.41916421,,1.989873504,1.253388176,28.18480619,,1.125625186,,1.039726238,,100,0.000617594,0.986798908,4.102915192,32.28772138,18.0
