State,Total Renewable,Source,Correlation
AK,Total Renewable,Coal,0.570554352
AL,Total Renewable,Coal,-0.299077416
AR,Total Renewable,Coal,-0.415603746
AZ,Total Renewable,Coal,-0.698568578
CA,Total Renewable,Coal,-0.689886392
CO,Total Renewable,Coal,-0.716625709
CT,Total Renewable,Coal,0.346426765
DE,Total Renewable,Coal,-0.74561139
FL,Total Renewable,Coal,-0.718791743
GA,Total Renewable,Coal,-0.757943346
HI,Total Renewable,Coal,-0.182832574
IA,Total Renewable,Coal,-0.521393584
ID,Total Renewable,Coal,-0.366428085
IL,Total Renewable,Coal,-0.454966396
IN,Total Renewable,Coal,-0.874569082
KS,Total Renewable,Coal,-0.718140929
KY,Total Renewable,Coal,-0.791037063
LA,Total Renewable,Coal,0.137870196
MA,Total Renewable,Coal,-0.37923192
MD,Total Renewable,Coal,-0.599022729
ME,Total Renewable,Coal,-0.547198157
MI,Total Renewable,Coal,-0.940930254
MN,Total Renewable,Coal,-0.791547162
MO,Total Renewable,Coal,-0.282815396
MS,Total Renewable,Coal,-0.541373056
MT,Total Renewable,Coal,-0.60388622
NC,Total Renewable,Coal,-0.863297738
ND,Total Renewable,Coal,-0.573275504
NE,Total Renewable,Coal,0.22617901
NH,Total Renewable,Coal,-0.639949736
NJ,Total Renewable,Coal,-0.733856073
NM,Total Renewable,Coal,-0.892011827
NV,Total Renewable,Coal,-0.764928179
NY,Total Renewable,Coal,-0.733481453
OH,Total Renewable,Coal,-0.942409811
OK,Total Renewable,Coal,-0.936305928
OR,Total Renewable,Coal,-0.575879378
PA,Total Renewable,Coal,-0.842343241
SC,Total Renewable,Coal,-0.753820589
SD,Total Renewable,Coal,-0.583697156
TN,Total Renewable,Coal,-0.42546211
TX,Total Renewable,Coal,-0.67430291
US_TOTAL,Total Renewable,Coal,-0.904932917
UT,Total Renewable,Coal,-0.822610981
VA,Total Renewable,Coal,-0.790761648
WA,Total Renewable,Coal,-0.533462191
WI,Total Renewable,Coal,-0.583423577
WV,Total Renewable,Coal,-0.767178516
WY,Total Renewable,Coal,-0.407931213
