State,SourceX,SourceY,Correlation
AK,Coal,Coal,1.0
AK,Coal,Hydro,0.6409786635966457
AK,Coal,Natural Gas,-0.21073065956005801
AK,Coal,Other,-0.5266111042460186
AK,Coal,Other Biomass,0.3477471153443299
AK,Coal,Other Gases,0.2857980831312714
AK,Coal,Petroleum,0.5239685181071386
AK,Coal,Wind,0.4789628943170958
AK,Coal,Wood Fuels,-0.6194151185793031
AK,Hydro,Coal,0.6409786635966457
AK,Hydro,Hydro,1.0
AK,Hydro,Natural Gas,-0.4703050969521461
AK,Hydro,Other,-0.6657372051471329
AK,Hydro,Other Biomass,0.6420990075946281
AK,Hydro,Other Gases,0.1055980327486481
AK,Hydro,Petroleum,0.353160271443861
AK,Hydro,Wind,0.6795339591381021
AK,Hydro,Wood Fuels,-0.49242109778937326
AK,Natural Gas,Coal,-0.21073065956005801
AK,Natural Gas,Hydro,-0.4703050969521461
AK,Natural Gas,Natural Gas,1.0
AK,Natural Gas,Other,0.7616930703236304
AK,Natural Gas,Other Biomass,-0.6740323400769818
AK,Natural Gas,Other Gases,0.21450431351237845
AK,Natural Gas,Petroleum,0.16695479754612538
AK,Natural Gas,Wind,-0.6926176829411197
AK,Natural Gas,Wood Fuels,-0.12181432930201909
AK,Other,Coal,-0.5266111042460186
AK,Other,Hydro,-0.6657372051471329
AK,Other,Natural Gas,0.7616930703236304
AK,Other,Other,1.0
AK,Other,Other Biomass,-0.7947419024095096
AK,Other,Other Gases,0.14641641172060924
AK,Other,Petroleum,-0.10213073646181428
AK,Other,Wind,-0.8809609404279394
AK,Other,Wood Fuels,0.31229618436672646
AK,Other Biomass,Coal,0.3477471153443299
AK,Other Biomass,Hydro,0.6420990075946281
AK,Other Biomass,Natural Gas,-0.6740323400769818
AK,Other Biomass,Other,-0.7947419024095096
AK,Other Biomass,Other Biomass,1.0
AK,Other Biomass,Other Gases,-0.20035792607159666
AK,Other Biomass,Petroleum,-0.10591734082412879
AK,Other Biomass,Wind,0.9388941063381391
AK,Other Biomass,Wood Fuels,-0.23279808535693997
AK,Other Gases,Coal,0.2857980831312714
AK,Other Gases,Hydro,0.1055980327486481
AK,Other Gases,Natural Gas,0.21450431351237845
AK,Other Gases,Other,0.14641641172060924
AK,Other Gases,Other Biomass,-0.20035792607159666
AK,Other Gases,Other Gases,1.0
AK,Other Gases,Petroleum,0.2793710206854552
AK,Other Gases,Wind,-0.07481971637651913
AK,Other Gases,Wood Fuels,-0.14216210581060543
AK,Petroleum,Coal,0.5239685181071386
AK,Petroleum,Hydro,0.353160271443861
AK,Petroleum,Natural Gas,0.16695479754612538
AK,Petroleum,Other,-0.10213073646181428
AK,Petroleum,Other Biomass,-0.10591734082412879
AK,Petroleum,Other Gases,0.2793710206854552
AK,Petroleum,Petroleum,1.0
AK,Petroleum,Wind,0.059677105083861814
AK,Petroleum,Wood Fuels,-0.6860578284743679
AK,Wind,Coal,0.4789628943170958
AK,Wind,Hydro,0.6795339591381021
AK,Wind,Natural Gas,-0.6926176829411197
AK,Wind,Other,-0.8809609404279394
AK,Wind,Other Biomass,0.9388941063381391
AK,Wind,Other Gases,-0.07481971637651913
AK,Wind,Petroleum,0.059677105083861814
AK,Wind,Wind,1.0
AK,Wind,Wood Fuels,-0.3674401423341226
AK,Wood Fuels,Coal,-0.6194151185793031
AK,Wood Fuels,Hydro,-0.49242109778937326
AK,Wood Fuels,Natural Gas,-0.12181432930201909
AK,Wood Fuels,Other,0.31229618436672646
AK,Wood Fuels,Other Biomass,-0.23279808535693997
AK,Wood Fuels,Other Gases,-0.14216210581060543
AK,Wood Fuels,Petroleum,-0.6860578284743679
AK,Wood Fuels,Wind,-0.3674401423341226
AK,Wood Fuels,Wood Fuels,1.0
AL,Coal,Coal,1.0
AL,Coal,Hydro,-0.36284490555145543
AL,Coal,Natural Gas,-0.8124813234022983
AL,Coal,Nuclear,-0.5353491363611701
AL,Coal,Other,0.0786614586925361
AL,Coal,Other Biomass,-0.6155865487203332
AL,Coal,Other Gases,0.6384441905917452
AL,Coal,Petroleum,0.8412738280386556
AL,Coal,Solar,-0.7438505388059171
AL,Coal,Wood Fuels,0.42303773049084803
AL,Hydro,Coal,-0.36284490555145543
AL,Hydro,Hydro,1.0
AL,Hydro,Natural Gas,0.07468110070788755
AL,Hydro,Nuclear,0.0033576863173777607
AL,Hydro,Other,0.05712462855471341
AL,Hydro,Other Biomass,0.12071076221469447
AL,Hydro,Other Gases,-0.08183747838256474
AL,Hydro,Petroleum,-0.1333483565843468
AL,Hydro,Solar,0.3549759093489464
AL,Hydro,Wood Fuels,-0.21130811426188845
AL,Natural Gas,Coal,-0.8124813234022983
AL,Natural Gas,Hydro,0.07468110070788755
AL,Natural Gas,Natural Gas,1.0
AL,Natural Gas,Nuclear,0.8655129328088962
AL,Natural Gas,Other,0.12840959494838375
AL,Natural Gas,Other Biomass,0.4703370672870732
AL,Natural Gas,Other Gases,-0.7389248640561816
AL,Natural Gas,Petroleum,-0.7645138810087347
AL,Natural Gas,Solar,0.5711049251032613
AL,Natural Gas,Wood Fuels,-0.29179597023836995
AL,Nuclear,Coal,-0.5353491363611701
AL,Nuclear,Hydro,0.0033576863173777607
AL,Nuclear,Natural Gas,0.8655129328088962
AL,Nuclear,Nuclear,1.0
AL,Nuclear,Other,0.1974673920079943
AL,Nuclear,Other Biomass,0.31995135860392143
AL,Nuclear,Other Gases,-0.7148855313396977
AL,Nuclear,Petroleum,-0.4571401316810897
AL,Nuclear,Solar,0.4869666782753233
AL,Nuclear,Wood Fuels,0.04555654928087938
AL,Other,Coal,0.0786614586925361
AL,Other,Hydro,0.05712462855471341
AL,Other,Natural Gas,0.12840959494838375
AL,Other,Nuclear,0.1974673920079943
AL,Other,Other,1.0
AL,Other,Other Biomass,-0.34129875228933665
AL,Other,Other Gases,0.1670154326870786
AL,Other,Petroleum,0.01578895505199364
AL,Other,Solar,-0.2053348939727863
AL,Other,Wood Fuels,-0.320575870579863
AL,Other Biomass,Coal,-0.6155865487203332
AL,Other Biomass,Hydro,0.12071076221469447
AL,Other Biomass,Natural Gas,0.4703370672870732
AL,Other Biomass,Nuclear,0.31995135860392143
AL,Other Biomass,Other,-0.34129875228933665
AL,Other Biomass,Other Biomass,1.0
AL,Other Biomass,Other Gases,-0.614503653568229
AL,Other Biomass,Petroleum,-0.5657633087691731
AL,Other Biomass,Solar,0.5061546351935599
AL,Other Biomass,Wood Fuels,-0.3577284733609675
AL,Other Gases,Coal,0.6384441905917452
AL,Other Gases,Hydro,-0.08183747838256474
AL,Other Gases,Natural Gas,-0.7389248640561816
AL,Other Gases,Nuclear,-0.7148855313396977
AL,Other Gases,Other,0.1670154326870786
AL,Other Gases,Other Biomass,-0.614503653568229
AL,Other Gases,Other Gases,1.0
AL,Other Gases,Petroleum,0.48827096126868735
AL,Other Gases,Solar,-0.6786414732087784
AL,Other Gases,Wood Fuels,-0.07154003113054452
AL,Petroleum,Coal,0.8412738280386556
AL,Petroleum,Hydro,-0.1333483565843468
AL,Petroleum,Natural Gas,-0.7645138810087347
AL,Petroleum,Nuclear,-0.4571401316810897
AL,Petroleum,Other,0.01578895505199364
AL,Petroleum,Other Biomass,-0.5657633087691731
AL,Petroleum,Other Gases,0.48827096126868735
AL,Petroleum,Petroleum,1.0
AL,Petroleum,Solar,-0.5694005923644203
AL,Petroleum,Wood Fuels,0.5616655414345023
AL,Solar,Coal,-0.7438505388059171
AL,Solar,Hydro,0.3549759093489464
AL,Solar,Natural Gas,0.5711049251032613
AL,Solar,Nuclear,0.4869666782753233
AL,Solar,Other,-0.2053348939727863
AL,Solar,Other Biomass,0.5061546351935599
AL,Solar,Other Gases,-0.6786414732087784
AL,Solar,Petroleum,-0.5694005923644203
AL,Solar,Solar,1.0
AL,Solar,Wood Fuels,-0.024510714685269046
AL,Wood Fuels,Coal,0.42303773049084803
AL,Wood Fuels,Hydro,-0.21130811426188845
AL,Wood Fuels,Natural Gas,-0.29179597023836995
AL,Wood Fuels,Nuclear,0.04555654928087938
AL,Wood Fuels,Other,-0.320575870579863
AL,Wood Fuels,Other Biomass,-0.3577284733609675
AL,Wood Fuels,Other Gases,-0.07154003113054452
AL,Wood Fuels,Petroleum,0.5616655414345023
AL,Wood Fuels,Solar,-0.024510714685269046
AL,Wood Fuels,Wood Fuels,1.0
AR,Coal,Coal,1.0
AR,Coal,Hydro,-0.472921572634861
AR,Coal,Natural Gas,0.27029807385787047
AR,Coal,Nuclear,0.1777447202142942
AR,Coal,Other,0.12370724254300844
AR,Coal,Other Biomass,0.4146402927539226
AR,Coal,Other Gases,-0.05926985178738369
AR,Coal,Petroleum,-0.01029106489427401
AR,Coal,Pumped Storage,0.16178736976166755
AR,Coal,Solar,-0.2027054603686889
AR,Coal,Wood Fuels,0.31147689803972994
AR,Hydro,Coal,-0.472921572634861
AR,Hydro,Hydro,1.0
AR,Hydro,Natural Gas,0.14520209089711764
AR,Hydro,Nuclear,0.033097422169428826
AR,Hydro,Other,-0.08584140930431493
AR,Hydro,Other Biomass,0.04933249959462047
AR,Hydro,Other Gases,-0.04312205900189549
AR,Hydro,Petroleum,-0.24922929588792075
AR,Hydro,Pumped Storage,0.3616142308212588
AR,Hydro,Solar,0.3539576720013813
AR,Hydro,Wood Fuels,-0.46435110761613796
