Name,State,Total Renewable,Source,Correlation
Alaska,AK,Total Renewable,Biomass,-0.056240192
Alabama,AL,Total Renewable,Biomass,0.055079201
Arkansas,AR,Total Renewable,Biomass,-0.322343433
Arizona,AZ,Total Renewable,Biomass,0.52150897
California,CA,Total Renewable,Biomass,-0.401848729
Colorado,CO,Total Renewable,Biomass,0.943439609
Connecticut,CT,Total Renewable,Biomass,0.976758185
District of Columbia,DC,Total Renewable,Biomass,0.991622428
Delaware,DE,Total Renewable,Biomass,0.934677759
Florida,FL,Total Renewable,Biomass,0.078294775
Georgia,GA,Total Renewable,Biomass,0.813676555
Hawaii,HI,Total Renewable,Biomass,-0.096663733
Iowa,IA,Total Renewable,Biomass,0.785403783
Idaho,ID,Total Renewable,Biomass,-0.131586218
Illinois,IL,Total Renewable,Biomass,-0.158380095
Indiana,IN,Total Renewable,Biomass,0.913378921
Kansas,KS,Total Renewable,Biomass,0.83519076
Kentucky,KY,Total Renewable,Biomass,0.254112206
Louisiana,LA,Total Renewable,Biomass,0.708321785
Massachusetts,MA,Total Renewable,Biomass,0.247174762
Maryland,MD,Total Renewable,Biomass,-0.195352645
Maine,ME,Total Renewable,Biomass,-0.052053857
Michigan,MI,Total Renewable,Biomass,0.159691741
Minnesota,MN,Total Renewable,Biomass,0.673007041
Missouri,MO,Total Renewable,Biomass,0.62416792
Mississippi,MS,Total Renewable,Biomass,0.83397593
Montana,MT,Total Renewable,Biomass,-0.620525766
North Carolina,NC,Total Renewable,Biomass,0.532525252
North Dakota,ND,Total Renewable,Biomass,-0.289641302
Nebraska,NE,Total Renewable,Biomass,0.700920257
New Hampshire,NH,Total Renewable,Biomass,0.835159206
New Jersey,NJ,Total Renewable,Biomass,0.235750978
New Mexico,NM,Total Renewable,Biomass,0.57575127
Nevada,NV,Total Renewable,Biomass,0.954669312
New York,NY,Total Renewable,Biomass,0.13196965
Ohio,OH,Total Renewable,Biomass,0.569195968
Oklahoma,OK,Total Renewable,Biomass,0.580852955
Oregon,OR,Total Renewable,Biomass,0.130750391
Pennsylvania,PA,Total Renewable,Biomass,0.290050948
Rhode Island,RI,Total Renewable,Biomass,0.800747547
South Carolina,SC,Total Renewable,Biomass,0.448559351
South Dakota,SD,Total Renewable,Biomass,0.570930938
Tennessee,TN,Total Renewable,Biomass,-0.182775159
Texas,TX,Total Renewable,Biomass,0.262681971
US_TOTAL,US_TOTAL,Total Renewable,Biomass,0.430863201
Utah,UT,Total Renewable,Biomass,0.775369773
Virginia,VA,Total Renewable,Biomass,0.847390344
Vermont,VT,Total Renewable,Biomass,0.712883032
Washington,WA,Total Renewable,Biomass,0.123427545
Wisconsin,WI,Total Renewable,Biomass,0.686445347
West Virginia,WV,Total Renewable,Biomass,0.105823863
Wyoming,WY,Total Renewable,Biomass,-0.28577931
Alaska,AK,Total Renewable,Coal,0.570554352
Alabama,AL,Total Renewable,Coal,-0.299077416
Arkansas,AR,Total Renewable,Coal,-0.415603746
Arizona,AZ,Total Renewable,Coal,-0.698568578
California,CA,Total Renewable,Coal,-0.689886392
Colorado,CO,Total Renewable,Coal,-0.716625709
Connecticut,CT,Total Renewable,Coal,0.346426765
Delaware,DE,Total Renewable,Coal,-0.74561139
Florida,FL,Total Renewable,Coal,-0.718791743
Georgia,GA,Total Renewable,Coal,-0.757943346
Hawaii,HI,Total Renewable,Coal,-0.182832574
Iowa,IA,Total Renewable,Coal,-0.521393584
Idaho,ID,Total Renewable,Coal,-0.366428085
Illinois,IL,Total Renewable,Coal,-0.454966396
Indiana,IN,Total Renewable,Coal,-0.874569082
Kansas,KS,Total Renewable,Coal,-0.718140929
Kentucky,KY,Total Renewable,Coal,-0.791037063
Louisiana,LA,Total Renewable,Coal,0.137870196
Massachusetts,MA,Total Renewable,Coal,-0.37923192
Maryland,MD,Total Renewable,Coal,-0.599022729
Maine,ME,Total Renewable,Coal,-0.547198157
Michigan,MI,Total Renewable,Coal,-0.940930254
Minnesota,MN,Total Renewable,Coal,-0.791547162
Missouri,MO,Total Renewable,Coal,-0.282815396
Mississippi,MS,Total Renewable,Coal,-0.541373056
Montana,MT,Total Renewable,Coal,-0.60388622
North Carolina,NC,Total Renewable,Coal,-0.863297738
North Dakota,ND,Total Renewable,Coal,-0.573275504
Nebraska,NE,Total Renewable,Coal,0.22617901
New Hampshire,NH,Total Renewable,Coal,-0.639949736
New Jersey,NJ,Total Renewable,Coal,-0.733856073
New Mexico,NM,Total Renewable,Coal,-0.892011827
Nevada,NV,Total Renewable,Coal,-0.764928179
New York,NY,Total Renewable,Coal,-0.733481453
Ohio,OH,Total Renewable,Coal,-0.942409811
Oklahoma,OK,Total Renewable,Coal,-0.936305928
Oregon,OR,Total Renewable,Coal,-0.575879378
Pennsylvania,PA,Total Renewable,Coal,-0.842343241
South Carolina,SC,Total Renewable,Coal,-0.753820589
South Dakota,SD,Total Renewable,Coal,-0.583697156
Tennessee,TN,Total Renewable,Coal,-0.42546211
Texas,TX,Total Renewable,Coal,-0.67430291
