Year,Name,State,Source,Percent
1990,California,CA,Coal,1.591023583
1990,California,CA,Geothermal,8.759092783
1990,California,CA,Hydro,14.3514673
1990,California,CA,Natural Gas,44.73767151
1990,California,CA,Nuclear,19.72001384
1990,California,CA,Petroleum,3.301779416
1990,California,CA,Solar,0.221170915
1990,California,CA,Wind,1.664132771
1990,California,CA,Biomass,3.763853439
1990,California,CA,Total Renewable,28.75971721
1990,Nevada,NV,Coal,75.07612333
1990,Nevada,NV,Geothermal,3.796339128
1990,Nevada,NV,Hydro,8.653474931
1990,Nevada,NV,Natural Gas,11.05711351
1990,Nevada,NV,Petroleum,1.416949097
1990,Nevada,NV,Total Renewable,12.44981406
1990,US_TOTAL,US_TOTAL,Coal,52.4720895
1990,US_TOTAL,US_TOTAL,Geothermal,0.508069396
1990,US_TOTAL,US_TOTAL,Hydro,9.640635017
1990,US_TOTAL,US_TOTAL,Natural Gas,12.27078147
1990,US_TOTAL,US_TOTAL,Nuclear,18.98928458
1990,US_TOTAL,US_TOTAL,Petroleum,4.162850221
1990,US_TOTAL,US_TOTAL,Solar,0.012083867
1990,US_TOTAL,US_TOTAL,Wind,0.091795869
1990,US_TOTAL,US_TOTAL,Biomass,1.507072751
1990,US_TOTAL,US_TOTAL,Total Renewable,11.7596569
1990,Utah,UT,Coal,96.80436147
1990,Utah,UT,Geothermal,0.466242321
1990,Utah,UT,Hydro,1.561387416
1990,Utah,UT,Natural Gas,0.449852825
1990,Utah,UT,Petroleum,0.159233307
1990,Utah,UT,Total Renewable,2.027629736
1990,District of Columbia,DC,Petroleum,100
1990,Hawaii,HI,Coal,0.02453943
1990,Hawaii,HI,Hydro,0.81952007
1990,Hawaii,HI,Petroleum,90.03488907
1990,Hawaii,HI,Wind,0.297080663
1990,Hawaii,HI,Biomass,8.657389161
1990,Hawaii,HI,Total Renewable,9.773989895
1990,Massachusetts,MA,Coal,28.54962161
1990,Massachusetts,MA,Hydro,3.13793086
1990,Massachusetts,MA,Natural Gas,15.4045372
1990,Massachusetts,MA,Nuclear,12.73421567
1990,Massachusetts,MA,Petroleum,37.93370633
1990,Massachusetts,MA,Biomass,3.919807513
1990,Massachusetts,MA,Total Renewable,7.057738373
1990,Connecticut,CT,Coal,10.22738708
1990,Connecticut,CT,Hydro,1.623509801
1990,Connecticut,CT,Natural Gas,3.560674325
1990,Connecticut,CT,Nuclear,56.26685356
1990,Connecticut,CT,Petroleum,25.24939151
1990,Connecticut,CT,Biomass,3.053752688
1990,Connecticut,CT,Total Renewable,4.677262489
1990,New York,NY,Coal,19.14582327
1990,New York,NY,Hydro,20.82683356
1990,New York,NY,Natural Gas,16.78984729
1990,New York,NY,Nuclear,17.45408786
