,Year,State,Source,Percentage
0,1990,AK,Percentage Coal,9.1181793536787
1,1990,AK,Percentage Geothermal,0.0
2,1990,AK,Percentage Hydro,17.403695968894397
3,1990,AK,Percentage Natural Gas,61.90297858418224
4,1990,AK,Percentage Nuclear,0.0
5,1990,AK,Percentage Other,0.0
6,1990,AK,Percentage Other Biomass,0.0
7,1990,AK,Percentage Other Gases,0.0
8,1990,AK,Percentage Petroleum,8.87785458217207
9,1990,AK,Percentage Solar,0.0
10,1990,AK,Percentage Total,100.0
11,1990,AK,Percentage Wind,0.0
12,1990,AK,Percentage Wood Fuels,2.6972915110725837
13,1990,AK,Percentage Total Renewable,20.100987479966985
14,1990,AK,Percentage Renewable Including Nuclear,20.100987479966985
15,1990,AL,Percentage Coal,67.3655719929057
16,1990,AL,Percentage Geothermal,0.0
17,1990,AL,Percentage Hydro,13.014726171865354
18,1990,AL,Percentage Natural Gas,1.28146474118904
19,1990,AL,Percentage Nuclear,15.13064565389605
20,1990,AL,Percentage Other,0.0
21,1990,AL,Percentage Other Biomass,0.05963807648440501
22,1990,AL,Percentage Other Gases,0.33831611263944433
23,1990,AL,Percentage Petroleum,0.17336509996537067
24,1990,AL,Percentage Solar,0.0
25,1990,AL,Percentage Total,100.0
26,1990,AL,Percentage Wind,0.0
27,1990,AL,Percentage Wood Fuels,2.6362721510546363
28,1990,AL,Percentage Total Renewable,15.710636399404395
29,1990,AL,Percentage Renewable Including Nuclear,30.841282053300446
30,1990,AR,Percentage Coal,49.12565852978846
31,1990,AR,Percentage Geothermal,0.0
32,1990,AR,Percentage Hydro,9.34703471887358
33,1990,AR,Percentage Natural Gas,9.152454713217256
34,1990,AR,Percentage Nuclear,28.854652162919937
35,1990,AR,Percentage Other,0.0
36,1990,AR,Percentage Other Biomass,0.03935846092330668
37,1990,AR,Percentage Other Gases,0.0
38,1990,AR,Percentage Petroleum,0.2045519751891055
39,1990,AR,Percentage Solar,0.0
40,1990,AR,Percentage Total,100.0
41,1990,AR,Percentage Wind,0.0
42,1990,AR,Percentage Wood Fuels,3.1663854958304176
43,1990,AR,Percentage Total Renewable,12.552778675627305
44,1990,AR,Percentage Renewable Including Nuclear,41.407430838547235
45,1990,AZ,Percentage Coal,50.84184375652985
46,1990,AZ,Percentage Geothermal,0.0
47,1990,AZ,Percentage Hydro,11.816262952335412
48,1990,AZ,Percentage Natural Gas,3.7179229581814353
49,1990,AZ,Percentage Nuclear,32.81229736431776
50,1990,AZ,Percentage Other,0.0
51,1990,AZ,Percentage Other Biomass,0.0
52,1990,AZ,Percentage Other Gases,0.0
53,1990,AZ,Percentage Petroleum,0.24192544920096834
54,1990,AZ,Percentage Solar,0.0
55,1990,AZ,Percentage Total,100.0
56,1990,AZ,Percentage Wind,0.0
57,1990,AZ,Percentage Wood Fuels,0.17186652046457804
58,1990,AZ,Percentage Total Renewable,11.98812947279999
59,1990,AZ,Percentage Renewable Including Nuclear,44.80042683711775
60,1990,CA,Percentage Coal,1.5910235834553552
61,1990,CA,Percentage Geothermal,8.759092783288255
62,1990,CA,Percentage Hydro,14.351467297907073
63,1990,CA,Percentage Natural Gas,44.73767150905152
64,1990,CA,Percentage Nuclear,19.720013840342972
65,1990,CA,Percentage Other,0.0
66,1990,CA,Percentage Other Biomass,1.2775077133226886
67,1990,CA,Percentage Other Gases,1.2948959063577976
68,1990,CA,Percentage Petroleum,3.3017794158815748
69,1990,CA,Percentage Solar,0.22117091489913596
70,1990,CA,Percentage Total,100.0
71,1990,CA,Percentage Wind,1.6641327709749503
72,1990,CA,Percentage Wood Fuels,2.4863457264376216
73,1990,CA,Percentage Total Renewable,28.759717206829727
74,1990,CA,Percentage Renewable Including Nuclear,48.4797310471727
75,1990,CO,Percentage Coal,91.60276104366926
76,1990,CO,Percentage Geothermal,0.0
77,1990,CO,Percentage Hydro,4.362370836269626
78,1990,CO,Percentage Natural Gas,3.9636443596278212
79,1990,CO,Percentage Nuclear,0.0
80,1990,CO,Percentage Other,0.0
81,1990,CO,Percentage Other Biomass,0.08906810520924906
82,1990,CO,Percentage Other Gases,0.0
83,1990,CO,Percentage Petroleum,0.08415230775030465
84,1990,CO,Percentage Solar,0.0
85,1990,CO,Percentage Total,100.0
86,1990,CO,Percentage Wind,0.0
87,1990,CO,Percentage Wood Fuels,0.0
88,1990,CO,Percentage Total Renewable,4.451438941478876
89,1990,CO,Percentage Renewable Including Nuclear,4.451438941478876
90,1990,CT,Percentage Coal,10.227387083830491
91,1990,CT,Percentage Geothermal,0.0
92,1990,CT,Percentage Hydro,1.62350980149313
93,1990,CT,Percentage Natural Gas,3.5606743253603903
94,1990,CT,Percentage Nuclear,56.26685356039408
95,1990,CT,Percentage Other,0.0
96,1990,CT,Percentage Other Biomass,3.053752687941676
97,1990,CT,Percentage Other Gases,1.138069220613495e-05
98,1990,CT,Percentage Petroleum,25.249391509952403
99,1990,CT,Percentage Solar,0.0
100,1990,CT,Percentage Total,100.0
101,1990,CT,Percentage Wind,0.0
102,1990,CT,Percentage Wood Fuels,0.0
103,1990,CT,Percentage Total Renewable,4.677262489434805
104,1990,CT,Percentage Renewable Including Nuclear,60.94411604982888
105,1990,DC,Percentage Coal,0.0
106,1990,DC,Percentage Geothermal,0.0
107,1990,DC,Percentage Hydro,0.0
108,1990,DC,Percentage Natural Gas,0.0
109,1990,DC,Percentage Nuclear,0.0
110,1990,DC,Percentage Other,0.0
111,1990,DC,Percentage Other Biomass,0.0
112,1990,DC,Percentage Other Gases,0.0
113,1990,DC,Percentage Petroleum,100.0
114,1990,DC,Percentage Solar,0.0
115,1990,DC,Percentage Total,100.0
116,1990,DC,Percentage Wind,0.0
117,1990,DC,Percentage Wood Fuels,0.0
118,1990,DC,Percentage Total Renewable,0.0
119,1990,DC,Percentage Renewable Including Nuclear,0.0
120,1990,DE,Percentage Coal,65.21046993559906
121,1990,DE,Percentage Geothermal,0.0
122,1990,DE,Percentage Hydro,0.0
123,1990,DE,Percentage Natural Gas,9.730523496779952
124,1990,DE,Percentage Nuclear,0.0
125,1990,DE,Percentage Other,0.08053306127654147
126,1990,DE,Percentage Other Biomass,0.0
127,1990,DE,Percentage Other Gases,2.1026716827137664
128,1990,DE,Percentage Petroleum,22.875801823630685
129,1990,DE,Percentage Solar,0.0
130,1990,DE,Percentage Total,100.0
131,1990,DE,Percentage Wind,0.0
132,1990,DE,Percentage Wood Fuels,0.0
133,1990,DE,Percentage Total Renewable,0.0
134,1990,DE,Percentage Renewable Including Nuclear,0.0
135,1990,FL,Percentage Coal,45.70273019718484
136,1990,FL,Percentage Geothermal,0.0
137,1990,FL,Percentage Hydro,0.13277612944898493
138,1990,FL,Percentage Natural Gas,14.176670014915985
139,1990,FL,Percentage Nuclear,16.562081498143993
140,1990,FL,Percentage Other,1.1049990793714857
141,1990,FL,Percentage Other Biomass,1.272277961021791
142,1990,FL,Percentage Other Gases,0.0
143,1990,FL,Percentage Petroleum,19.417978904181428
144,1990,FL,Percentage Solar,0.0
145,1990,FL,Percentage Total,100.0
146,1990,FL,Percentage Wind,0.0
147,1990,FL,Percentage Wood Fuels,1.630486215731492
148,1990,FL,Percentage Total Renewable,3.035540306202268
149,1990,FL,Percentage Renewable Including Nuclear,19.597621804346264
150,1990,GA,Percentage Coal,66.75255808373157
151,1990,GA,Percentage Geothermal,0.0
152,1990,GA,Percentage Hydro,4.469067131097604
153,1990,GA,Percentage Natural Gas,0.8084627502185298
154,1990,GA,Percentage Nuclear,24.14820525125859
155,1990,GA,Percentage Other,9.738403120028545e-07
156,1990,GA,Percentage Other Biomass,0.13191348714297066
157,1990,GA,Percentage Other Gases,0.0
158,1990,GA,Percentage Petroleum,0.4864137590391858
159,1990,GA,Percentage Solar,0.0
160,1990,GA,Percentage Total,100.0
161,1990,GA,Percentage Wind,0.0
162,1990,GA,Percentage Wood Fuels,2.870218054531941
163,1990,GA,Percentage Total Renewable,7.471198672772515
164,1990,GA,Percentage Renewable Including Nuclear,31.619403924031108
165,1990,HI,Percentage Coal,0.024539429638106798
166,1990,HI,Percentage Geothermal,0.0
167,1990,HI,Percentage Hydro,0.8195200701821503
168,1990,HI,Percentage Natural Gas,0.0
