Date,Entity,Measure,Value
2019-01-01,USA_CASIO,Wholesale Price,40
2019-02-01,USA_CASIO,Wholesale Price,70.9
2019-03-01,USA_CASIO,Wholesale Price,36
2019-04-01,USA_CASIO,Wholesale Price,23.5
2019-05-01,USA_CASIO,Wholesale Price,18.5
2019-06-01,USA_CASIO,Wholesale Price,23.1
2019-07-01,USA_CASIO,Wholesale Price,31.5
2019-08-01,USA_CASIO,Wholesale Price,32.8
2019-09-01,USA_CASIO,Wholesale Price,36.1
2019-10-01,USA_CASIO,Wholesale Price,34.2
2019-11-01,USA_CASIO,Wholesale Price,42
2019-12-01,USA_CASIO,Wholesale Price,40.2
2020-01-01,USA_CASIO,Wholesale Price,31.2
2020-02-01,USA_CASIO,Wholesale Price,25.7
2020-03-01,USA_CASIO,Wholesale Price,25
2020-04-01,USA_CASIO,Wholesale Price,18.5
2020-05-01,USA_CASIO,Wholesale Price,17.3
2020-06-01,USA_CASIO,Wholesale Price,22.6
2019-01-01,USA_ERCOT,Wholesale Price,24
2019-02-01,USA_ERCOT,Wholesale Price,21
2019-03-01,USA_ERCOT,Wholesale Price,28
2019-04-01,USA_ERCOT,Wholesale Price,23
2019-05-01,USA_ERCOT,Wholesale Price,24
2019-06-01,USA_ERCOT,Wholesale Price,25
2019-07-01,USA_ERCOT,Wholesale Price,30
2019-08-01,USA_ERCOT,Wholesale Price,127
2019-09-01,USA_ERCOT,Wholesale Price,80
2019-10-01,USA_ERCOT,Wholesale Price,28
2019-11-01,USA_ERCOT,Wholesale Price,24
2019-12-01,USA_ERCOT,Wholesale Price,19
2020-01-01,USA_ERCOT,Wholesale Price,17
2020-02-01,USA_ERCOT,Wholesale Price,18
2020-03-01,USA_ERCOT,Wholesale Price,23
2020-04-01,USA_ERCOT,Wholesale Price,20
2020-05-01,USA_ERCOT,Wholesale Price,18
2020-06-01,USA_ERCOT,Wholesale Price,29
2019-01-01,USA_CASIO,Demand,20.931614
2019-02-01,USA_CASIO,Demand,18.475922
2019-03-01,USA_CASIO,Demand,18.225251
2019-04-01,USA_CASIO,Demand,19.499562
2019-05-01,USA_CASIO,Demand,20.402327
2019-06-01,USA_CASIO,Demand,23.137825
2019-07-01,USA_CASIO,Demand,26.779562
2019-08-01,USA_CASIO,Demand,27.88918
2019-09-01,USA_CASIO,Demand,25.185188
2019-10-01,USA_CASIO,Demand,21.609252
2019-11-01,USA_CASIO,Demand,20.383064
2019-12-01,USA_CASIO,Demand,21.836026
2020-01-01,USA_CASIO,Demand,21.102243
2020-02-01,USA_CASIO,Demand,19.413528
2020-03-01,USA_CASIO,Demand,19.9925
2020-04-01,USA_CASIO,Demand,18.500103
2020-05-01,USA_CASIO,Demand,21.198383
2020-06-01,USA_CASIO,Demand,23.096511
2019-01-01,USA_ERCOT,Demand,29.9
2019-02-01,USA_ERCOT,Demand,26.18
2019-03-01,USA_ERCOT,Demand,27.79
2019-04-01,USA_ERCOT,Demand,26.82
2019-05-01,USA_ERCOT,Demand,32.16
2019-06-01,USA_ERCOT,Demand,35.02
2019-07-01,USA_ERCOT,Demand,39.08
2019-08-01,USA_ERCOT,Demand,41.63
2019-09-01,USA_ERCOT,Demand,37.14
2019-10-01,USA_ERCOT,Demand,30.58
2019-11-01,USA_ERCOT,Demand,27.58
2019-12-01,USA_ERCOT,Demand,29.2
2020-01-01,USA_ERCOT,Demand,28.92
2020-02-01,USA_ERCOT,Demand,27.9
2020-03-01,USA_ERCOT,Demand,28.03
2020-04-01,USA_ERCOT,Demand,26.78
2020-05-01,USA_ERCOT,Demand,31.08
2020-06-01,USA_ERCOT,Demand,35.26
