quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,itemName
201601,220301,5.696296,6.25,5.6,5.15,336,2016-01-01,01/01/2016,115217,2016,1,1,Fish and Chips
201601,220318,6.807603,7.5,6.55,5.85,336,2016-01-01,01/01/2016,115217,2016,1,1,Indian
201601,220319,5.253577,5.7,5.1,4.65,336,2016-01-01,01/01/2016,115217,2016,1,1,Chinese
201601,220316,8.052045,9.99,7.79,5.3,336,2016-01-01,01/01/2016,115217,2016,1,1,Pizza
201602,220316,7.906894,9.99,7.65,5.25,337,2016-02-01,01/02/2016,111438,2016,2,1,Pizza
201602,220318,6.841322,7.55,6.75,5.95,337,2016-02-01,01/02/2016,111438,2016,2,1,Indian
201602,220319,5.272049,5.6,5,4.7,337,2016-02-01,01/02/2016,111438,2016,2,1,Chinese
201602,220301,5.71528,6.3,5.7,5.15,337,2016-02-01,01/02/2016,111438,2016,2,1,Fish and Chips
201603,220319,5.254758,5.5,5,4.75,338,2016-03-01,01/03/2016,114522,2016,3,1,Chinese
201603,220316,7.949259,9.99,7.79,5.3,338,2016-03-01,01/03/2016,114522,2016,3,1,Pizza
201603,220301,5.685859,6.3,5.6,5,338,2016-03-01,01/03/2016,114522,2016,3,1,Fish and Chips
201603,220318,6.84984,7.55,6.75,5.95,338,2016-03-01,01/03/2016,114522,2016,3,1,Indian
201604,220319,5.28512,5.5,5,4.7,339,2016-04-01,01/04/2016,116360,2016,4,2,Chinese
201604,220301,5.688615,6.3,5.65,5,339,2016-04-01,01/04/2016,116360,2016,4,2,Fish and Chips
201604,220318,6.895156,7.58,6.75,5.95,339,2016-04-01,01/04/2016,116360,2016,4,2,Indian
201604,220316,7.948881,9.99,7.65,5.3,339,2016-04-01,01/04/2016,116360,2016,4,2,Pizza
201605,220301,5.697863,6.4,5.7,5,340,2016-05-01,01/05/2016,116741,2016,5,2,Fish and Chips
201605,220316,7.851481,9.99,7.65,5,340,2016-05-01,01/05/2016,116741,2016,5,2,Pizza
201605,220319,5.283643,5.6,5,4.7,340,2016-05-01,01/05/2016,116741,2016,5,2,Chinese
201605,220318,6.893615,7.61,6.75,5.95,340,2016-05-01,01/05/2016,116741,2016,5,2,Indian
201606,220301,5.710076,6.4,5.7,5.1,341,2016-06-01,01/06/2016,114788,2016,6,2,Fish and Chips
