YEAR,STATE,Renewables 
1990,AK,20.10098748
1990,AL,15.7106364
1990,AR,12.55277868
1990,AZ,11.98812947
1990,CA,28.75971721
1990,CO,4.451438941
1990,CT,4.677262489
1990,DC,0
1990,DE,0
1990,FL,3.035540306
1990,GA,7.471198673
1990,HI,9.773989894
1990,IA,2.972696572
1990,ID,98.28424466
1990,IL,0.23116801
1990,IN,0.471456909
1990,KS,0.038844685
1990,KY,4.281939049
1990,LA,3.886289827
1990,MA,7.057738373
1990,MD,8.500926293
1990,ME,47.0348452
1990,MI,3.034910035
1990,MN,4.102915192
1990,MO,3.69336222
1990,MS,6.325533203
1990,MT,41.59051412
1990,NC,9.754296361
1990,ND,6.339167394
1990,NE,5.270013706
1990,NH,24.3350367
1990,NJ,0.702747545
1990,NM,0.761837078
1990,NV,12.44981406
1990,NY,22.2874918
1990,OH,0.628029138
1990,OK,6.375090058
1990,OR,83.64526641
1990,PA,2.111117243
1990,RI,4.03696867
1990,SC,6.46960714
1990,SD,61.21226803
1990,TN,13.68613628
1990,TX,1.1473992
1990,US-TOTAL,11.7596569
1990,UT,2.027629737
1990,VA,5.907033245
1990,VT,28.65966397
1990,WA,86.79793023
1990,WI,5.960665953
1990,WV,1.628185095
1990,WY,1.738720722
1991,AK,19.23055801
1991,AL,14.64815776
1991,AR,12.14598254
1991,AZ,10.1816492
1991,CA,29.38940736
1991,CO,5.733386965
1991,CT,5.902986511
1991,DC,0
1991,DE,0
1991,FL,3.305942806
1991,GA,7.631503647
1991,HI,10.68213142
1991,IA,2.870900378
1991,ID,98.02822661
1991,IL,0.243120009
1991,IN,0.423768871
1991,KS,0.032512285
1991,KY,4.844443515
1991,LA,4.121799386
1991,MA,6.703057068
1991,MD,4.778915318
1991,ME,46.24530039
1991,MI,3.27499381
1991,MN,4.513434054
1991,MO,1.851003012
1991,MS,7.104074196
1991,MT,42.26724844
1991,NC,8.045424505
1991,ND,6.346597085
1991,NE,4.541979301
1991,NH,18.79753815
1991,NJ,1.898529966
1991,NM,0.993922513
1991,NV,15.22967112
1991,NY,21.65922282
1991,OH,0.635448567
1991,OK,4.460915254
1991,OR,88.3786829
1991,PA,1.828018337
1991,RI,2.806086091
1991,SC,6.301696535
1991,SD,58.24297173
1991,TN,14.87550281
1991,TX,1.29975301
1991,US-TOTAL,11.63945549
1991,UT,2.665732989
1991,VA,5.434434931
1991,VT,21.88361697
1991,WA,87.5924611
1991,WI,6.75181591
1991,WV,1.451008996
1991,WY,2.001028643
1992,AK,20.12577703
1992,AL,13.39501593
1992,AR,12.1894925
1992,AZ,9.580335569
1992,CA,25.535698
1992,CO,4.587212862
1992,CT,6.0280959
1992,DC,0
1992,DE,0
1992,FL,3.788568813
1992,GA,8.328215379
1992,HI,9.053101028
1992,IA,3.343530317
